raiz_cnpj_foto,cnpj,denominacao_referencia,cedente_originador_literal,papel_literal,originador,cedente,sacado_devedor,tipo_recebivel_literal,fonte_imagem,localizacao_imagem,status_transcricao,confianca,observacao,updated_at_utc
65836995,65836995000170,DAYCOVAL D410 FUNDO DE INV EM DIREITOS CREDITORIOS,Cantu Store,cedente,,Cantu Store,,,IMG_8707.jpg,planilha amarela; linha da raiz 65836995,confirmado_legivel,alta,,2026-08-01T16:24:18Z
44124465,44124465000120,TIAO21 FUNDO I E D CREDITORIOS,Ação,cedente,,Ação,,Risco Bancos Emissores Diversos,IMG_8705.JPG,planilha amarela; linha da raiz 44124465,confirmado_legivel,alta,OBS da foto: lista de concentração pré-aprovada.,2026-08-01T16:24:18Z
63622842,63622842000103,DESBRAVA UNO ART ESP FIDC RL,Empresas grupo Dass,cedente,,Empresas grupo Dass,,,IMG_8705.JPG,planilha amarela; linha da raiz 63622842,confirmado_legivel,alta,"OBS da foto: FIDC 12431, risco Dass (não são recebíveis de clientes).",2026-08-01T16:24:18Z
26287464,26287464000114,TAPSO,Stone,originador,Stone,,,,IMG_8698.jpg,Top 15 Financeiro; linha 1,confirmado_legivel,alta,Originador transcrito da coluna da foto; complemento manual marcado com asterisco no slide.,2026-08-01T20:00:00Z
62393679,62393679000183,CLOUDWALK BELA SEGMENTO MEIOS,Cloudwalk,originador,Cloudwalk,,,,IMG_8698.jpg,Top 15 Financeiro; linha 2,confirmado_legivel,alta,Originador transcrito da coluna da foto; complemento manual marcado com asterisco no slide.,2026-08-01T20:00:00Z
63953619,63953619000130,MEU TUDO CONSIGNADO PRIVADO MATO GROSSO,MeuTudo,originador,MeuTudo,,,,IMG_8698.jpg,Top 15 Financeiro; linha 3,confirmado_legivel,alta,A foto informa o originador comercial; o cedente documental Parati permanece em campo separado.,2026-08-01T20:00:00Z
52242420,52242420000188,BTG PACTUAL CONSIGNADOS II,Banco Pan,originador,Banco Pan,,,,IMG_8698.jpg,Top 15 Financeiro; linha 4,confirmado_legivel,alta,Originador transcrito da coluna da foto; complemento manual marcado com asterisco no slide.,2026-08-01T20:00:00Z
26286939,26286939000158,CIELO,Cielo,originador,Cielo,,,,IMG_8698.jpg,Top 15 Financeiro; linha 5,confirmado_legivel,alta,A foto classifica Cielo como originador; eventual papel documental distinto prevalece.,2026-08-01T20:00:00Z
50906397,50906397000153,BTG PACTUAL CONSIGNADOS,Banco Pan,originador,Banco Pan,,,,IMG_8698.jpg,Top 15 Financeiro; linha 7,confirmado_legivel,alta,Originador transcrito da coluna da foto; complemento manual marcado com asterisco no slide.,2026-08-01T20:00:00Z
42922136,42922136000107,MONEE I,Shopee,originador,Shopee,,,,IMG_8698.jpg,Top 15 Financeiro; linha 8,confirmado_legivel,alta,Rótulo comercial da foto; a entidade legal documental SHPP Brasil IP prevalece.,2026-08-01T20:00:00Z
32527650,32527650000186,PICPAY I,PicPay,originador,PicPay,,,,IMG_8698.jpg,Top 15 Financeiro; linha 9,confirmado_legivel,alta,Originador transcrito da coluna da foto; complemento manual marcado com asterisco no slide.,2026-08-01T20:00:00Z
61285603,61285603000171,MAROBA FUNDO DE INVESTIMENTO,Itaú BBA,originador,Itaú BBA,,,,IMG_8698.jpg,Top 15 Financeiro; linha 10,confirmado_legivel,alta,Originador transcrito da coluna da foto; complemento manual marcado com asterisco no slide.,2026-08-01T20:00:00Z
21126275,21126275000146,VENDA DE VEICULOS,"Nissan, Renault e Geely (RCI)",originador,"Nissan, Renault e Geely (RCI)",,,,IMG_8698.jpg,Top 15 Financeiro; linha 11,confirmado_legivel,alta,Nissan e Renault também constam documentalmente como cedentes; Geely permanece apoiada somente pela foto.,2026-08-01T20:00:00Z
54979779,54979779000168,FIDC ACR BEM BANCOS EMISSORES,Stone,originador,Stone,,,,IMG_8698.jpg,Top 15 Financeiro; linha 12,confirmado_legivel,alta,Originador transcrito da coluna da foto; complemento manual marcado com asterisco no slide.,2026-08-01T20:00:00Z
12817329,12817329000129,HAVAN SEGMENTO ECONOMICO,Havan,originador,Havan,,,,IMG_8698.jpg,Top 15 Financeiro; linha 13,confirmado_legivel,alta,Havan S.A. também consta documentalmente como cedente; os papéis permanecem separados.,2026-08-01T20:00:00Z
60356171,60356171000180,CLOUDWALK PI SEGMENTO MEIOS,Cloudwalk,originador,Cloudwalk,,,,IMG_8698.jpg,Top 15 Financeiro; linha 15,confirmado_legivel,alta,O documento já identifica Cloudwalk IP como originador/cedente; a foto funciona como complemento manual.,2026-08-01T20:00:00Z
