cnpj,fundo,minimo_em_uso_pct,veredito,valor_documental_pct,familia,pagina,trecho,documento,fonte_no_registro
51554551000138,Crédito Nitro Agro,25.0,confirma,25.0,subordinacao,71.0,"itérios de Elegibilidade e Condições de Cessão. “Índices de Monitoramento” Significam os índices de monitoramento a serem calculados e verificados nas Datas de Verificação pelo Gestor, conforme o caso, nos termos dos itens 9.3 e 9.3.1 deste Anexo Descritivo. “Índice de Subordinação” Significa a relação equivalente a, no mínimo, 25% (vinte e cinco por cento) entre o valor das Cotas Subordinadas Mezanino e das Cotas Subordinadas Júnior, em conjunto, em circulação, e o Patrimônio Líquido da Classe Única, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175/22. Isto quer dizer que a Classe Única deverá ter, no máximo, 75% (setenta e cinco",Regulamento 1261911 · 22/07/2026,Regulamento 1261911 · p. 71 · 2026-06-18
52100879000147,Sotreq,25.0,sem cláusula localizada,,,,,Regulamento 529169 · 29/09/2023,Regulamento 1117315 · p. 49 · 2026-02-06
52271464000136,Kiwify,6.0,confirma,6.0,subordinacao,23.0,"da aquisição dos Direitos Creditórios pela Classe, segundo critérios e parâmetros de mercado vigentes à época de cada cessão, levando em conta, dentre outros fatores, (a) o valor dos Direitos Creditórios; (b) o prazo de repasse dos Direitos Creditórios; (c) a Razão de Subordinação; e (d) o Benchmark das Cotas Seniores em circulação. O Preço de Aquisição dos Direitos Creditórios deverá sempre observar a Taxa Mínima de Cessão. “Preço de Emissão” significa o respectivo preço de emissão de cada uma das séries de Cotas Seniores, de acordo com seu respectivo Suplemento. “Prestadores de Serviços Essenciais” A Administradora e a Gestora, quando referidas em conjunto. “Razão de Subordinação” signific",Regulamento 791538 · 29/11/2024,Regulamento 1155755 · p. 18 · 2026-03-18
52340225000190,Inova Credtech III,7.5,confirma,7.5,subordinacao,77.0,"nte a, no mínimo, 20% (vinte por cento), exceto para fins de amortização extraordinária das Cotas Subordinadas Júnior prevista no item 15.2.1 e seguintes, em relação a qual deve ser, no mínimo, 22,50% (vinte e dois inteiros e cinquenta centésimos por cento). “Índice de Subordinação Mezanino A” significa a razão mínima entre (i) a soma do valor total das Cotas Subordinadas Mezanino B e Cotas Subordinadas Júnior em circulação e (ii) o Patrimônio Líquido do Fundo, conforme apurada pela Gestora em cada Dia Útil, equivalente a, no mínimo, 10% (dez por cento), exceto para fins de amortização extraordinária das Cotas Subordinadas Júnior prevista no item 15.2.1 e seguintes, em relação a qual deve se",Regulamento 1171206 · 28/04/2026,Regulamento 1171206 · p. 77 · 2026-03-25
52343195000176,Farmtech Syngenta,15.0,remete a suplemento,,subordinacao,77.0,"JUR_SP - 45857520v32 - 13189004.505734 - 77 - pagamento, os Índice de Subordinação Sênior e Índice de Subordinação Mezanino permaneçam superiores a 1,00 (um inteiro). 10.22. Os pagamentos a título de Amortização de Principal, pagamento de Remuneração e/ou de Resgate das Cotas serão efetuados, em moeda corrente nacional, pelo valor da Cota no dia do pagamento, calculado na forma descrita neste Regulamento e no respectivo Suplemento, conforme o caso, por meio de depósito em conta corrente de titularidade dos Cotistas, mediante transferência eletrônica disponível ou qualquer outro mecanismo de transferência de recursos autorizado pelo Banco Central. 10.23. No âmbito do processo de liquidação an",Regulamento 695723 · 10/07/2024,Regulamento 791944 · p. 7 · 2024-11-27
52968533000165,Mcpo,20.0,confirma,20.0,subordinacao,72.0,"“Índice de Subordinação Sênior” ou “Índice de Subordinação” Significa 1 (um) menos a razão entre o valor total das Cotas Seniores e o Patrimônio Líquido , e deverá corresponder a, no mínimo, 20% (vinte por cento). Índice de Subordinação Ex - Derivativo Significa 1 (um) menos a razão entre o valor total das Cotas Seniores e o Patrimônio Líquido, e desconsiderando -se a diferença entre o valor de curva de eventuais derivativos contratados para a proteção da Classe e a marcação a mercado do mesmo, que deverá ser apurada pelo Gestor e deverá corresponder a, no mínimo, 20% (vinte por cento). “Instituições Financeiras Autorizadas” Qualquer instituição financeira à qual tenha sido atribuído classif",Regulamento 1049185 · 28/11/2025,Regulamento 1049185 · p. 72 · 2025-10-14
53270983000142,Angá FGTS +ag,8.0,confirma,8.0,subordinacao,14.0,"idoda Classe A, nos termos do artigo2º,inciso XV e doartigo 20, inciso II, ambos do Anexo Normativo II daResolução CVM175. Isto quer dizer que a Classe A deverá ter, no máximo, 80% (oitenta) por cento do seu Patrimônio Líquido representado por Cotas Seniores; Índice de Subordinação Mezanino A relação equivalente a, no mínimo, 8% (oito por cento) entre: (a) o valor das Cotas Subordinadas Júnior em circulação e (b) o Patrimônio Líquido da Classe A, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175. Índices de Subordinação Significam, em conjunto, o Índice de Subordinação Sênior e o Índice de Subordinação Mezanino; Instituições Autori",Regulamento 881263 · 15/04/2025,Regulamento 881263 · p. 14 · 2025-04-03
53577135000180,Angá FGTS II,15.0,confirma,15.0,subordinacao,15.0,"Classe A, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175. Isto quer dizer que a Classe A deverá ter, no máximo, 80% (oitenta) por cento do seu Patrimônio Líquido representado por Cotas Seniores; “Índice de Subordinação Mezanino”: A relação equivalente a, no mínimo, 15% (quinze por cento) entre: (a) o valor das Cotas Subordinadas Júnior em circulação e (b) o Patrimônio Líquido da Classe A, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175. “Índices de Subordinação”: Significam, em conjunto, o Índice de Subordinação Sênior e o Índice de Subordinação Mezanino; “Instituiçõ",Regulamento 588329 · 22/01/2024,Regulamento 1224059 · p. 17 · 2026-06-18
53662209000187,Pneucash,20.0,confirma,20.0,subordinacao,51.0,"o da Classe, a qual deverá, diariamente, representar o percentual mínimo de 11% (onze por cento). Isso significa que, no mínimo, 11% (onze por cento) do Patrimônio Líquido da Classe deve ser representado por Cotas Subordinadas Mezanino A em circulação. 5.3. O Índice de Subordinação Mezanino B será a relação mínima a ser observada entre o valor das Cotas Subordinadas Mezanino B e o Patrimônio Líquido da Classe, a qual deverá, diariamente, representar o percentual mínimo de 7% (sete por cento ). Isso significa que, no mínimo, 7% (sete por cento) do Patrimônio Líquido da Classe deve ser representado por Cotas Subordinadas Mezanino B em circulação 5.4. O Índice de Subordinação Subordinadas será ",Regulamento 672587 · 31/05/2024,Regulamento 1239751 · p. 49 · 2026-06-30
54083697000130,Pernambucanas,10.0,confirma,10.0,subordinacao,84.0,"11.3.1 As características, vantagens e restrições específicas das Cotas Juniores serão estabelecidas no Apêndice da respectiva emissão. Índice de Subordinação 11.4 O Índice de Subordinação será considerado enquadrado sempre que: (i) o Índice de Subordinação for, no mínimo, 10% (dez por cento). 11.5 Na hipótese de desenquadramento do Índice de Subordinação, a Cedente, será comunicada pela Gestora em até 2 (dois) Dias Úteis do referido desenquadramento. 11.5.1 A Cedente deverá responder à comunicação da Gestora, até o 3 (terceiro) Dia Útil subsequente à data do seu recebimento, informando, por escrito, se desejam ou não integralizar novas Cotas Juniores, conforme o caso. Caso desejem integrali",Regulamento 628851 · 27/03/2024,Regulamento 640301 · p. 84 · 2024-04-12
54252144000164,J17 FGTS,5.0,confirma,5.0,subordinacao,104.0,"tas Seniores em circulação, o valor determinado conforme fórmula abaixo: (Patrimônio Líquido da Classe representado pela soma do valor das Cotas Subordinadas Mezanino e Cotas Subordinadas Júnior em circulação, dividido pelo Patrimônio Líquido da Classe) (vi) ""Índice de Subordinação Mezanino"" significa, caso haja Cotas Subordinadas Mezanino em circulação, o valor determinado conforme fórmula abaixo: (Patrimônio Líquido da Classe representado pela soma do valor das Cotas Subordinadas Júnior em circulação, dividido pelo Patrimônio Líquido da Classe) 10.1. Desde a 1ª Data de Integralização de Cotas Seniores até a última Data de Resgate, o Índice de Subordinação Sênior deverá ser igual ou superio",Regulamento 708775 · 31/07/2024,Regulamento 1223382 · p. 109 · 2026-06-08
54464892000100,MT FGTS Receivables II,3.5,sem cláusula localizada,,,,,Regulamento 884293 · 24/04/2025,Regulamento 884293 · p. 85–86 · 2025-04-23
54559035000194,Estratégia Vinculada I,10.0,sem cláusula localizada,,,,,Regulamento 634463 · 05/04/2024,Regulamento 634463 · p. 50 · 2024-04-05
54810968000102,Angá FGTS III,5.0,confirma,5.0,subordinacao,16.0,"ciso II, ambos do Anexo Normativo II da Resolução CVM 175. Isto quer dizer que a Classe A deverá ter, no máximo, 90% (noventa por cento) do seu Patrimônio Líquido representado por Cotas Seniores, observado ainda o disposto no item 9.5 deste Anexo Descritivo; “Índice de Subordinação Mezanino”: A relação equivalente a, no mínimo, 5% (cinco por cento) entre: (a) o valor das Cotas Subordinadas Júnior em circulação e (b) o Patrimônio Líquido da Classe A, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175 , observado ainda o disposto no item 9.5 deste Anexo Descritivo; “Índices de Subordinação”: Significam, em conjunto, o Índice de Subord",Regulamento 666837 · 22/05/2024,Regulamento 937760 · p. 16 · 2025-04-22
54857414000160,Indie Merx Raiz I Crédito A…,15.0,confirma,15.0,subordinacao,74.0,"76 Classe, que não poderá superar 2% (dois por cento) do Patrimônio Líquido da Classe. “Índice de Subordinação Mezanino” Significa a razão entre (i) o valor total das Cotas Subordinadas Júnior e (ii) o Patrimônio Líquido da Classe. Até que a totalidade das Cotas Seniores sejam resgatadas, o Índice de Subordinação Mezanino deverá corresponder, no mínimo, a 15,00% (quinze inteiros por cento). “Índice de Subordinação Sênior” Significa a razão entre (i) o valor total das Cotas Subordinadas e (ii) o Patrimônio Líquido da Classe. Até que a totalidade das Cotas Seniores sejam resgatadas, o Índice de Subordinação Sênior deverá corresponder, no mínimo, a 25,00% (vinte e cinco inteiros por cento). “Ín",Regulamento 1263627 · 24/07/2026,Regulamento 1263627 · p. 74 · 2026-06-01
55070804000159,Estratégia Vinculada II,10.0,sem documento,,,,,,Regulamento 667195 · p. 57 · 2024-05-22
55374251000128,Blue II Segmento Crédito Co…,5.0,sem cláusula localizada,,,,,Regulamento 686750 · 26/06/2024,Regulamento 686750 · p. 61 · 2024-06-25
55401645000128,Quatá FDC FGTS,3.0,confirma,3.0,subordinacao,19.0,", nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175. Isto quer dizer que a Classe A deverá ter, no máximo, 85% (oitenta e cinco por cento) do seu Patrimônio Líquido representado por Cotas Seniores; “Índice de Subordinação Mezanino”: A relação equivalente a, no mínimo, 3% (três por cento) entre: (a) o valor das Cotas Subordinadas Júnior em circulação e (b) o Patrimônio Líquido da Classe A, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175. “Índices de Subordinação”: Significam, em conjunto, o Índice de Subordinação Sênior e o Índice de Subordinação Mezanino; “Instituições ",Regulamento 885834 · 28/04/2025,Regulamento 1051890 · p. 17 · 2025-12-01
55476342000174,Lavoro Agro II Fiagro - Dir…,20.0,confirma,20.0,subordinacao,107.0,"e Subordinação estabelecido no respectivo Apêndice que será apurado pelo Gestor todo Dia Útil. 14.8 No âmbito da Primeira Emissão, a integralização de Cotas da Subclasse Sênior só será realizada em cada Data de Integralização de Cotas da Subclasse Sênior se o Índice de Subordinação for igual ou superior a 20% (vinte por cento) em tal data, considerada proforma a integralização de Cotas da Subclasse Sênior em questão. 14.9 Não obstante o disposto nas Cláusulas 14.5 e 14.6 acima, os Cotistas titulares de Cotas da Subclasse Subordinadas não estão obrigados a aportar recursos na Classe, além do valor constante nos respectivos Boletins de Subscrição, para manter o Índice de Subordinação nos patam",Regulamento 1003108 · 30/09/2025,Regulamento 1003108 · p. 107; 122 · 2025-09-30
56936116000191,Fator Tarken Fiagro,3.0,confirma,3.0,subordinacao,61.0,"estora é a responsável pela decisão final de cada contratação, devendo manter evidências que assegurem ou comprovem a sua diligência relativa à escolha de uma nova eventual Seguradora Elegível, a qual pode ou não estar indicada no presente regulamento. 14. DO ÍNDICE DE SUBORDINAÇÃO E PROCEDIMENTOS APLICÁVEIS NA HIPÓTESE DE INOBSERVÂNCIA DESSE ÍNDICE 14.1. O Índice de Subordinação Sênior será a relação mínima a ser observada entre o valor das Cotas Subordinadas e o Patrimônio Líquido da Classe. Isso significa que, no mínimo, 15% (quinze por cento) do Patrimônio Líquido da Classe deve ser representado por Cotas Subordinadas em circulação. 14.2. O Índice de Subordinação Mezanino será a relação ",Regulamento 1023213 · 29/10/2025,Regulamento 1023213 · p. 61 · 2025-10-27
57028406000108,Is Green Solfácil VI,2.0,sem cláusula localizada,,,,,Regulamento 1202319 · 25/05/2026,Regulamento 1202319 · p. 112 · 2026-05-21
57131490000182,Ponto Rural Fiagro Responsa…,50.0,confirma,50.0,subordinacao,39.0,"e da Política de Investimento, a Administradora, conforme orientação da Gestora, poderá deliberar pela realização de novas séries ou emissões de Cotas, sem a necessidade de aprovação em Assembleia de Cotistas, desde que limitadas ao Capital Autorizado. 5. DO ÍNDICE DE SUBORDINAÇÃO E PROCEDIMENTOS APLICÁVEIS NA HIPÓTESE DE INOBSERVÂNCIA DESSE ÍNDICE 5.1. O Índice de Subordinação Sênior será a relação mínima a ser observada entre o valor das Cotas Subordinadas e o Patrimônio Líquido da Classe. Isso significa que, no mínimo, 50% (cinquenta por cento) do Patrimônio Líquido da Classe deve ser representado por Cotas Subordinadas em circulação. 5.2. O Índice de Subordinação Mezanino 1 será a relaçã",Regulamento 995970 · 23/09/2025,Regulamento 995970 · p. 39 · 2025-09-23
57259989000170,Três Tentos Fiagro Responsa…,20.0,sem cláusula localizada,,,,,Regulamento 830200 · 31/01/2025,Regulamento 1016583 · p. 104 · 2025-10-16
57270666000187,Mobilitas,10.0,confirma,10.0,subordinacao,49.0,"das demais aplicações até o encerramento da distribuição, devendo ser aplicados em Ativos Financeiros. 4.23. Assim que subscrito o valor mínimo previsto para a distribuição das Cotas, os recursos poderão ser investidos na forma prevista no Regulamento. 5. DO ÍNDICE DE SUBORDINAÇÃO E PROCEDIMENTOS APLICÁVEIS NA HIPÓTESE DE INOBSERVÂNCIA DESSE ÍNDICE 5.1. O Índice de Subordinação será a relação mínima a ser observada entre o valor das subclasses das Cotas Subordinadas Júnior e o Patrimônio Líquido da Classe, a qual deverá, diariamente, representar o percentual mínimo de 10% (dez por cento). Isso significa que, no mínimo, 10% (dez por cento) do Patrimônio Líquido da Classe deve ser representado",Regulamento 769277 · 31/10/2024,Regulamento 769277 · p. 49 · 2024-10-31
57752597000148,Agromercantil Crédito Agro,30.0,sem cláusula localizada,,,,,Regulamento 934846 · 30/06/2025,Regulamento 1200681 · p. 44 · 2026-05-21
57816252000100,Natura Pay,25.26,confirma,25.26,subordinacao,28.0,"25,26% (vinte e cinco inteiros e vinte e seis centésimos por cento). Isso significa que, no mínimo, 25,26% (vinte e cinco inteiros e vinte e seis centésimos por cento)do Patrimônio Líquido da Classe deve ser representado por Cotas Subordinadas em circulação (“Índice de Subordinação”). 4.12. As Cotas Subordinadas serão emitidas em série única e conferirão aos seus titulares os mesmos direitos e obrigações, conforme descrito neste Anexo I-A. 4.13. As Cotas Subordinadas conferirão aos seus titulares o direito de votar em matérias objeto de deliberação nas Assembleias de Cotistas, observados os quóruns previstos neste Regulamento, sendo que a cada Cota Sênior corresponderá 1 (um) voto. 4.14. O v",Regulamento 1151279 · 31/03/2026,Regulamento 1182394 · p. 28; 68 · 2026-05-07
58152340000118,Monee II,30.0,confirma,30.0,subordinacao,91.0,"egulamento, observado o disposto no Capítulo 6 da parte geral do Regulamento; XIII. a ocorrência do NPL 60 da Classe para uma porcentagem igual ou superior a 23% (vinte e três por cento) dos Direitos Creditórios pertencentes à Classe; XIV. desenquadramento do Índice de Subordinação mínimo de 30% (trinta por cento) exigido por prazo superior a 5 (cinco) Dias Úteis consecutivos, desde que esse índice não seja reenquadrado dentro deste período; XV. caso, após 90 (noventa) dias contados da data da primeira subscrição de Cotas Seniores do Fundo, o Índice de Cancelamento resulte em porcentagem superior a 10% (dez por cento); XVI. caso o Índice de Recompra resulte em porcentagem superior a 1,50% (u",Regulamento 1093019 · 26/01/2026,Regulamento 1191019 · p. 105 · 2026-05-14
58171340000165,Frimesa,1.0,confirma,1.0,subordinacao,51.0,"nica, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175. Isto quer dizer que a Classe Única deverá ter, no máximo, 80% (oitenta por cento) do seu Patrimônio Líquido representado por Cotas Seniores. “Índice de Subordinação Mezanino” Significa a relação equivalente a, no mínimo, 1% (um por cento) entre o valor das Cotas Subordinadas Júnior, em circulação, e o Patrimônio Líquido da Classe Única, nos termos do artigo 2º, inciso XV e do artigo 20, inciso II, ambos do Anexo Normativo II da Resolução CVM 175. Isto quer dizer que a Classe Única deverá ter, no máximo, 19% (dezenove por cento) do seu Patrimônio Líquido representado por Cotas",Regulamento 846712 · 23/02/2025,Regulamento 861191 · p. 51 · 2025-03-13
58288437000152,Altomax,20.0,confirma,20.0,subordinacao,79.0,"orma diversa ao estipulado neste Regulamento e no Contrato de Cessão; e (ii) cujo denominador é o valor do patrimônio líquido apurado no último Dia Útil do mês imediatamente anterior à Data de Verificação, a qual não deverá se r superior a 1% (um por cento). “Índice de Subordinação Mezanino ” Se aplicável, significa a razão, a ser verificada pela Gestora em todo Dia Útil, que será considerada como atendida se, enquanto houver Cotas Subordinadas Mezanino em circulação, o valor total das Cotas Subordinadas Júnior em circulação, independentemente da Sub classe, corresponder a, no mínimo, 20% (vinte por cento) do valor total do patrimônio líquido do Fundo. “Índice de Subordinação Sênior ” signif",Regulamento 935844 · 30/06/2025,Regulamento 1240668 · p. 94 · 2026-02-24
58291962000127,Helm Fundo de Investimento…,20.0,confirma,20.0,subordinacao,100.0,"os percentuais abaixo para os Índices de Monitoramento, o Gestor deverá comunicar os Cotistas imediatamente, fornecendo as informações necessárias acerca do percentual em questão, bem como sobre eventuais providências a serem adotadas, conforme aplicável: (i) Índice de Subordinação deverá corresponder a, no mínimo, 20% (vinte por cento); (ii) Índice de Concentração Devedores, que deverá ser de até 3% (três por cento) do Patrimônio Líquido; (iii) Índice de Concentração Devedores Especiais, que deverá ser de até 10% (dez inteiros por cento);",Regulamento 957854 · 31/07/2025,Regulamento 957854 · p. 99–100 · 2025-07-30
58349979000198,Volkswagen Tera,25.0,sem cláusula localizada,,,,,Regulamento 826213 · 29/01/2025,Regulamento 826213 · p. 94 · 2025-01-28
58476088000100,Saga,33.33,confirma,33.33,subordinacao,18.0,"A., inscrita no CNPJ sob o nº 13.554.051/0001 - 07, e suas controladas, quando mencionadas em conjunto. “Índices de Monitoramento” São os índices verificados e calculados pelo Gestor, quando mencionados em conjunto: (i) Alocação Mínima de Investimento; e (ii) Índice de Subordinação. “Índice de Subordinação” Significa o resultado da razão entre o valor total das Cotas Subordinadas e o Patrimônio Líquido, que deverá ser apurada pelo Gestor e deverá corresponder a, no mínimo, 33,33% (trinta e três inteiros e trinta e três centésimos por cento). “Instituições Financeiras Autorizadas” Significam quaisquer instituições financeiras autorizadas a funcionar pelo Banco Central que tenham classificação",Regulamento 852325 · 06/03/2025,Regulamento 852325 · p. 18 · 2025-02-25
61288838000117,Ifood Pago Crédito III,15.0,confirma,15.0,subordinacao,121.0,"Página 121 de 165 “Índice de Subordinação Mezanino” significa a razão mínima admitida entre o somatório do valor das Cotas Subordinadas Júnior em circulação e o Patrimônio Líquido, conforme apurada pelo Custodiante em cada Dia Útil, equivalente a, no mínimo 15% (quinze por cento). “Índice de Subordinação Sênior” significa a razão mínima admitida entre o somatório do valor das Cotas Subordinadas em circulação e o Patrimônio Líquido, conforme apurada pelo Custodiante em cada Dia Útil, equivalente a, no mínimo, 30% (trinta por cento). “Instituição Autorizada” significa qualquer das seguintes instituições financeiras: (i) Banco Bradesco S.A., (ii) Banco Santander (Brasil) S.A., (iii) Banco do Br",Regulamento 1073756 · 30/12/2025,Regulamento 1240846 · p. 114 · 2026-07-03
62393829000159,Comerciais Medici I,5.0,confirma,5.0,subordinacao,40.0,"tas serão responsáveis pelo pagamento de todos os custos, tributos e emolumentos decorrentes da negociação ou transferência de suas Cotas. 4.26.3. Apenas Cotas que tenham sido totalmente integralizadas poderão ser negociadas ou transferidas a terceiros. 5. DO ÍNDICE DE SUBORDINAÇÃO E PROCEDIMENTOS APLICÁVEIS NA HIPÓTESE DE INOBSERVÂNCIA DESSE ÍNDICE 5.1. O Índice de Subordinação será a relação mínima a ser observada , a partir de 14 de outubro de 2025 , entre o valor das Cotas Subordinadas e o Patrimônio Líquido da Classe, a qual deverá, diariamente, representar o percentual mínimo de 5% (cinco por cento). Isso significa que, a partir de 14 de outubro de 2025, no mínimo, 5% (cinco por cento)",Regulamento 1017976 · 21/10/2025,Regulamento 1242436 · p. 40–41 · 2026-07-08
62588266000154,VTK,5.0,confirma,5.0,subordinacao,26.0,"0 Durante o prazo de duração do Fundo, a Gestora deverá fazer com que os índices e parâmetros abaixo sejam observados, sem prejuízo da realização do cálculo dos demais índices e parâmetros previstos no Relatório de Monitoramento: Índice de Monitoramento Valor Índice de Subordinação Sênior mínimo 15% (quinze por cento), conforme previsto no item 8.3.4 abaixo Índice de Subordinação Mezanino mínimo 5% (cinco por cento), conforme previsto no item 8.4.3 abaixo Índice de Subordinação Mezanino Ajustado mínimo 5% (cinco por cento), conforme previsto no item 8.4.3 abaixo CAPÍTULO 4 – PAGAMENTO, COBRANÇA E CONCILIAÇÃO DOS DIREITOS CREDITÓRIOS 4.1 Os pagamentos dos Direitos Creditórios Adquiridos serão",Regulamento 1002580 · 30/09/2025,Regulamento 1002580 · p. 35 · 2025-09-29
62626887000185,Sumup Smart IV,2.9,sem cláusula localizada,,,,,Regulamento 1018871 · 23/10/2025,Regulamento 1152823 · p. 96 · 2026-03-31
62838025000116,Endurance,10.0,confirma,10.0,subordinacao,39.0,"ior corresponderá 1 (um) voto. 16.5 As Cotas Subordinadas Júnior deverão ser subscritas e integralizadas pel os Cedentes, seus controladores diretos, indiretos e seus quotistas, em moeda corrente nacional e em montante que garanta, no mínimo, o atendimento do Índice de Subordinação, nos termos do Apêndice B. 16.6 As demais características e particularidades de cada Cota Sênior e Cotas Subordinadas Júnior estarão previstas em seus respectivos Apêndices, que, uma vez assinados pelos Prestadores de Serviços Essenciais, passam a fazer parte integrante deste Anexo. Índice de Subordinação 16.7 A subordinação mínima admitida na Classe é de 1 0% ( dez por cento), o que corresponde a uma representati",Regulamento 1058234 · 10/12/2025,Regulamento 1058234 · p. 39 · 2025-12-10
63066147000102,Inclusão Crediária,12.5,confirma,12.5,subordinacao,12.0,"bclasse Mezanino B e das Cotas da Subclasse Júnior em circulação; e (b) o Patrimônio Líquido. Será monitorado todo Dia Útil pela Gestora, com base nas informações fornecidas pelo Custodiante e deverá corresponder a, no mínimo, 35% (trinta e cinco por cento). “Índice de Subordinação Mezanino A” Relação mínima que deve ser observada entre (a) a soma do valor das Cotas da Subclasse Mezanino B e das Cotas da Subclasse Júnior em circulação; e (b) o Patrimônio Líquido. Será monitorado todo Dia Útil pela Gestora, com base nas informações fornecidas pel o Custodiante e deverá corresponder a, no mínimo, 17,5% (dezessete inteiros e cinco décimos por cento). “Índice de Subordinação Mezanino B” Relação ",Regulamento 1094447 · 28/01/2026,Regulamento 1085946 · p. 12 · 2026-01-15
63546406000194,Pine Inss III,1.5,confirma,1.5,subordinacao,142.0,"por meio de oferta pública. 9.3.1. O Cedente , as sociedades do seu Grupo Econômico e seus Veículos de Investimento deverão, em conjunto, durante todo o prazo de duração do Fundo, deter, no mínimo, 100% (cem por cento) das Cotas Subordinadas Juniores. 9.4. O Índice de Subordinação referente à Subclasse de Cotas Subordinadas Juniores, ou seja, a relação mínima entre o valor correspondente à totalidade das Cotas Subordinadas Juniores e o Patrimônio Líquido do Fundo, descontados os efeitos da marcação a mercado (mark -to-market) das Operações de Derivativos eventualmente contratadas pela Class e, deverá ser inicialmente equivalente a, no mínimo, 1,50% ( um inteiro e cinquenta centésimos por cen",Regulamento 1130481 · 06/03/2026,Regulamento 1130481 · p. 142 · 2026-03-05
63622842000103,Desbrava Uno Artigos Esport…,50.0,confirma,50.0,subordinacao,69.0,"Subordinadas têm as seguintes características, vantagens, direitos e obrigações comuns: (a) subordinam-se às Cotas Sênior para efeito de amortização e resgate, observado o disposto neste Regulamento, especialmente o item 17.1 do Anexo Descritivo; (b.1) caso o Índice de Subordinação esteja igual ou inferior a 50% (cinquenta por cento) do Patrimônio Líquido da Classe, somente poderão ser amortizadas e/ou resgatadas após o resgate integral das Cotas Sênior; (b.2) caso o Índice de Subordinação esteja acima de 50% (cinquenta por cento) do Patrimônio Líquido da Classe, as Cotas Subordinadas poderão ser amortizadas de acordo com o previsto no item 12.2 do Anexo Descritivo; (c) valor unitário calcul",Regulamento 1048679 · 27/11/2025,Regulamento 1051646 · p. 69 · 2025-12-01
63657457000193,MSV3,25.0,confirma,25.0,subordinacao,28.0,"istribuição dos rendimentos da carteira, nos termos do Regulamento. 8.5.2 As Cotas Subordinadas Júnior, independentemente das respectivas datas de emissão, conferirão aos seus Cotistas os mesmos direitos e obrigações, conforme descrito no Regulamento. 8.5.3 O Índice de Subordinação referente à Subclasse de Cotas Subordinadas Júnior , ou seja, o percentual de Cotas Subordinadas Júnior em relação ao Patrimônio Líquido deverá ser equivalente a, no mínimo, 25% (vinte e cinco por cento). 8.6 EMISSÃO DE NOVAS COTAS.",Regulamento 1205333 · 27/05/2026,Regulamento 1205333 · p. 28 · 2026-05-27
63679792000192,Blue Health,20.0,confirma,20.0,subordinacao,95.0,"Página 91 de 110 CONFIDENCIAL CONFIDENCIAL “Índice de Subordinação Mezanino” significa a razão, a ser verificada pela Gestora em todo Dia Útil, que será considerada como atendida se, enquanto houver Cotas Mezanino em circulação, o valor total das Cotas Subordinadas em circulação, independentemente da classe, corresponder a, no míni mo, o percentual do valor total do patrimônio líquido do Fundo previsto no Apêndice das Cotas Subordinadas Mezanino. “Índice de Subordinação Sênior” significa a razão, a ser verificada pela Gestora em todo Dia Útil, que será considerada como atendida se, enquanto houver Cotas Seniores em circulação, o valor total das Cotas Subordinadas Júnior em circulação, indepe",Regulamento 1069087 · 23/12/2025,Regulamento 1101558 · p. 92 · 2026-01-26
65347578000164,Icred Inss III,2.5,confirma,2.5,subordinacao,159.0,"referente à Subclasse de Cotas Subordinadas Mezanino B alcançar o valor de 5,5% (cinco inteiros e cinco décimos por cento), este passará a ser o índice de Subordinação mínimo referente à Subclasse de Cotas Subordinadas Mezanino B. 9.3. As Cotas Seniores e as Cotas Subordinadas Mezanino serão distribuídas por meio de oferta pública. 9.4. As Cotas Subordinadas Júnior serão objeto de colocação privada. A iCred, fundos de investimento exclusivos da iCred e/ou suas Partes Relacionadas deverão, durante todo o prazo de duração do Fundo, deter , no mínimo, 100% ( cem por cento) das Cotas Subordinadas Júnior, as quais não poderão ser oneradas, alienadas ou dadas em garantia. 9.5. O Índice de Subordin",Regulamento 1135444 · 13/03/2026,Regulamento 1211821 · p. 186 · 2026-05-25
65836995000170,Pneucash II,20.0,sem cláusula localizada,,,,,Regulamento 1184847 · 11/05/2026,Regulamento 1184847 · p. 49–50 · 2026-05-11
