Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria,cnpj_digits,percent_value,all_percent_values_from_observation,rule_text,setor_n1,setor_n2,confidence,evidence,rule_id,subordination_pct_normalized,subordination_normalization_note,subordination_valid_for_common_level
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | ou extrajudiciais necessárias à salvaguarda de direitos, garantias e prerrogativas do Fundo, o patrimônio do Fundo poderá ser afetado negativamente. (vi) Risco de Utilização de Instrumentos Derivativos . A eventual contratação, pelo Fundo, de modalidades de operações de derivativos poderá ocorrer exclusivamente para proteção de posições detidas à vista pelo Fundo. A realização de operações pelo Fundo no mercado de d…",1203913_regulamento_regulamento_1203913_2026-05-25.pdf · ID 1203913 · 25/05/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,34408539000104,,,Regra textual de derivativos/hedge; verificar observação e fonte.,Crédito PF,Crédito estudantil,media,fundo: regex `CREDITO UNIVERSITARIO`,student_credit,,sem_percentual_parseavel,False
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Cancelamento máximo,cancellation_rate_max,100%,parcial,"Recompras / Crédito, baixas ou eventos operacionais informados",Alerta se proxy IME ficar acima de 100%,"Cancelamentos podem ter proxy por recompras/baixas quando reportadas, mas a definição contratual costuma depender de dados operacionais do cedente. | Extração local heurística; validar manualmente antes de ativar alerta. | educacionais (aqui incluídas, exemplificativamente, as hipóteses de tr ancamento de matrícula, transferência de faculdade, não abertura ou fechamento de turma/curso, inclusive de cursos de educação à distância, dentre outras), em que a Cedente deverá restituir imediatamente ao Fundo o Preço de Aquisição proporcional aos Direi tos Creditórios devidos pelos Devedores cujos contratos de prestação de serviços tenham sid…",1203913_regulamento_regulamento_1203913_2026-05-25.pdf · ID 1203913 · 25/05/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,34408539000104,100.0,,100%,Crédito PF,Crédito estudantil,media,fundo: regex `CREDITO UNIVERSITARIO`,student_credit,100.0,percentual_direto,False
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | Não serão cobradas dos Cotistas quaisquer outras taxas, tais como taxa de performance, taxa de ingresso ou taxa de saída. CAPÍTULO IV – DA SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA Esta folha é parte da Ata da Assembleia Geral de Cotistas do Crédito Universitário III Fundo de Investimento em Direitos Creditórios – Responsabilidade Limitada, realizada no dia 25 de maio de 2026. 8. SUBSTITUIÇÃO E RENÚNCIA…",1203913_regulamento_regulamento_1203913_2026-05-25.pdf · ID 1203913 · 25/05/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,34408539000104,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Crédito PF,Crédito estudantil,media,fundo: regex `CREDITO UNIVERSITARIO`,student_credit,,sem_percentual_parseavel,False
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | itórios que poderão integrar a carteira do Fundo, cujos custos serão arcados pela Gestora e já estarão embutidos nas taxas de gestão aplicáveis ao Fundo; e (b) agente de cobrança dos Direitos Creditórios. 9.2.1. Ressalvada as situações de conflito de interesses, a substituição dos prestadores de serviço nominados nas alíneas acima será feita a critério da Gestora. 9.3. As disposições relativas à substituição e renún…",1203913_regulamento_regulamento_1203913_2026-05-25.pdf · ID 1203913 · 25/05/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,34408539000104,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Crédito PF,Crédito estudantil,media,fundo: regex `CREDITO UNIVERSITARIO`,student_credit,,sem_percentual_parseavel,False
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Critérios de elegibilidade dos direitos creditórios,eligibility_criteria_text,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,nao_monitoravel,,Alerta operacional: amostra ou regra de lastro indicar descumprimento dos critérios de elegibilidade,"Critérios de elegibilidade exigem granularidade por direito creditório, sacado, cedente e documentação de lastro não disponível no IME público. | Extração local heurística; validar manualmente antes de ativar alerta. | cessão ao Fundo, através do envio, pelo Cedente, de arquivo contendo a identificação dos Direitos Creditórios ofertados (“ Data de Oferta de Direitos Creditórios”). 13.3. Observados os termos e as condições do presente Regulamento, a verificação pela Gestora do atendimento ao Critério de Elegibilidade será considerada como definitiva. 13.4. O desenquadramento de qualquer Direito Creditório com relação a qualquer Cri…",1203913_regulamento_regulamento_1203913_2026-05-25.pdf · ID 1203913 · 25/05/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,34408539000104,,,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,Crédito PF,Crédito estudantil,media,fundo: regex `CREDITO UNIVERSITARIO`,student_credit,,sem_percentual_parseavel,False
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,Limite de concentração,concentration_limits,100%,nao_monitoravel,,Alerta se proxy IME ficar acima de 100%,"Limites por sacado, cedente ou grupo econômico exigem granularidade não disponível no IME público. | Extração local heurística; validar manualmente antes de ativar alerta. | s de educação à distância, dentre outras), em que a Cedente deverá restituir imediatamente ao Fundo o Preço de Aquisição proporcional aos Direi tos Creditórios devidos pelos Devedores cujos contratos de prestação de serviços tenham sido cancelados ou interrompidos referente aos meses não cursados pelo Devedor, o risco de inadimplência dos Direitos Creditórios estará concentrado unicamente na Cedente. (ii) Risco de C…",1203913_regulamento_regulamento_1203913_2026-05-25.pdf · ID 1203913 · 25/05/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,34408539000104,100.0,,100%,Crédito PF,Crédito estudantil,media,fundo: regex `CREDITO UNIVERSITARIO`,student_credit,100.0,percentual_direto,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BV - CRÉDITO DE VEÍCULOS RESPONSABILIDADE LIMITADA,35.868.110/0001-54,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | culação, observada a responsabilidade do Administrador designado nos termos do artigo 8° da Instrução CVM 356/01 pela regularidade na prestação dessas informações. 5.3. É vedado ao Administrador: 8 (i) prestar fiança, aval, aceite ou coobrigar -se sob qualquer outra forma nas operações praticadas pelo Fundo, inclusive quando se tratar de garantias prestadas às operações realizadas em mercados de derivativos; (ii) ut…",537768_regulamento_regulamento_537768_2023-10-09.pdf · ID 537768 · 09/10/2023,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,35868110000154,,,Regra textual de derivativos/hedge; verificar observação e fonte.,Crédito PF,Auto/Veículos,media,fundo: regex `VEICULO`,auto_loans,,sem_percentual_parseavel,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRINDADE - RESPONSABILIDADE LIMITADA,36.643.621/0001-30,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | to de longo prazo. Não há garantia, contudo, de que o Fundo ter á o tratamento tributário aplicável aos fundos de investimento de longo prazo. 10.6 Mediante decisão da Gestora e desde que respeitadas as disposições legais e regulamentares em vigor, o Fundo poderá realizar operações em mercados de derivativos, com o objetivo de proteger posições detidas à vista, até o limite dessas. 13 10.6.1 As operações com derivat…",185850_regulamento_regulamento_185850_2020-03-02.pdf · ID 185850 · 02/03/2020,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,36643621000130,,,Regra textual de derivativos/hedge; verificar observação e fonte.,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,,sem_percentual_parseavel,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRINDADE - RESPONSABILIDADE LIMITADA,36.643.621/0001-30,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | de 2020 ________________________________________________________ 4 ÍNDICE CAPÍTULO I – DO OBJETO, DA FORMA DE CONSTITUIÇÃO, PRAZO E PÚBLICO ALVO..... 5 CAPÍTULO II – DA ADMINISTRADORA E DA GESTORA DO FUNDO ....................................... 5 CAPÍTULO III – DA TAXA DE ADMINISTRAÇÃO ........................................................................... 7 CAPÍTULO IV – DA SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTR…",185850_regulamento_regulamento_185850_2020-03-02.pdf · ID 185850 · 02/03/2020,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,36643621000130,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,,sem_percentual_parseavel,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRINDADE - RESPONSABILIDADE LIMITADA,36.643.621/0001-30,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | nada p or dia útil, e paga à Gestora no 5º (quinto) dia útil do mês subsequente a qualquer pagamento aos Cotistas (a título de amortização ou resgate), já deduzidas tod as as demais despesas do Fundo, inclusive a Taxa de Administração. 7.9 Não há incidência de Taxa de Performance quando o valor da cota do Fundo for inferior ao seu valor por ocasião do último pagamento efetuado. CAPÍTULO IV – DA SUBSTITUIÇÃO E RENÚNC…",185850_regulamento_regulamento_185850_2020-03-02.pdf · ID 185850 · 02/03/2020,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,36643621000130,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,,sem_percentual_parseavel,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRINDADE - RESPONSABILIDADE LIMITADA,36.643.621/0001-30,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | nto) dia útil do mês subsequente a qualquer pagamento aos Cotistas (a título de amortização ou resgate), já deduzidas tod as as demais despesas do Fundo, inclusive a Taxa de Administração. 7.9 Não há incidência de Taxa de Performance quando o valor da cota do Fundo for inferior ao seu valor por ocasião do último pagamento efetuado. CAPÍTULO IV – DA SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 8. SUBSTITUIÇÃO E RENÚNCIA…",185850_regulamento_regulamento_185850_2020-03-02.pdf · ID 185850 · 02/03/2020,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,36643621000130,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,,sem_percentual_parseavel,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRINDADE - RESPONSABILIDADE LIMITADA,36.643.621/0001-30,Critérios de elegibilidade dos direitos creditórios,eligibility_criteria_text,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,nao_monitoravel,,Alerta operacional: amostra ou regra de lastro indicar descumprimento dos critérios de elegibilidade,"Critérios de elegibilidade exigem granularidade por direito creditório, sacado, cedente e documentação de lastro não disponível no IME público. | Extração local heurística; validar manualmente antes de ativar alerta. | rão ser variados e de naturezas distintas, bem como que os respectivos Devedores também poderão ser diversificados, a Política de Cobrança apresenta uma descrição genérica dos procedimentos que serão adotados pela Gestora, na cobrança dos Di reitos Creditórios Cedidos, não sendo possível um maior detalhamento dos mesmos ou dos fatores de risco a eles relacionados. CAPÍTULO VII – DO CRITÉRIO DE ELEGIBILIDADE 12. CRIT…",185850_regulamento_regulamento_185850_2020-03-02.pdf · ID 185850 · 02/03/2020,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,36643621000130,,,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,,sem_percentual_parseavel,False
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Subordinação mínima,subordination_ratio_min,7%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 7%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | iante esteja acima de 7% (sete por cento) até julho de 2025, haverá aumento no percentual acima equivalente à diferença do Índice Histórico de Inadimplência Comerciante e 7% (sete inteiros por cento). A Razão de Subordinação Júnior será calculada diariamente pelo Gestor e disponibilizada mensalmente, em cada Data de Cálculo, por meio do Relatório de Acompanhamento, sendo certo que, em caso de desenquadramento da Raz…",1200490_regulamento_regulamento_1200490_2026-03-27.pdf · ID 1200490 · 27/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,37511828000114,7.0,7;7,7%,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,7.0,percentual_direto,True
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Alocação mínima em direitos creditórios,credit_rights_allocation_min,50%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | nifica o Mercado Pago, contratado para prestação de serviços de agente de recebimento dos Direitos Creditórios do Fundo. Agente Escriturador (Bookepping Agent) Significa o Administrador, na qualidade de instituição responsável pela escrituração das Cotas do Fundo. Alocação Mínima de Investimento (Minimum Investment Allocation) Significa a alocação de, no mínimo, 50% (cinquenta por cento) do Patrimônio Líquido do Fun…",1200490_regulamento_regulamento_1200490_2026-03-27.pdf · ID 1200490 · 27/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,37511828000114,50.0,50,50%,Crédito PJ,Recebíveis comerciais/multissetorial,media,observacao_tecnica: regex `PRESTACAO DE SERVICOS`,receivables_commercial_multisector,50.0,percentual_direto,False
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Atraso/Inadimplência - evento de avaliação,default_rate_evaluation_event,8%,monitoravel,Vencidos Over 30/60/90/180/360 d / Crédito,Alerta se proxy IME ficar acima de 8%,Os buckets de atraso do Informe Mensal permitem recompor NPL Over acumulado por faixa. | Extração local heurística; validar manualmente antes de ativar alerta. | ecorrência da titularidade da Cota Sênior no mês calendário de referência; pela (ii) média diária do Valor Principal da totalidade dos Direitos Creditórios Para Fins de Juros Excedentes no mês calendário de referência. O Índice de Juros Excedente será calculado e disponibilizado pelo Gestor por meio do Relatório de Acompanhamento. Inadimplência (Historical Merchant Default Rate) Significa: (i) para fins de verificaç…,1200490_regulamento_regulamento_1200490_2026-03-27.pdf · ID 1200490 · 27/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,37511828000114,8.0,,8%,Judicial/Precatórios/NPL,Não padronizado/NPL,media,observacao_tecnica: regex `NPL`,npl_np,8.0,percentual_direto,False
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | Gestor e/ou pelo Administrador ou por veículos de investimento geridos pelo Gestor e/ou pelo Administrador, conforme o caso, estes somente poderão votar caso não estejam em posição de conflito de interesses. 11.1 (ii): deliberar sobre (b) a ocorrência de um Evento de Substituição Sem Justa Causa; Voto do Cotista Sênior em conjunto com a maioria das Cotas Subordinadas Júnior em Circulação. Caso os Cotistas deliberem…",1200490_regulamento_regulamento_1200490_2026-03-27.pdf · ID 1200490 · 27/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,37511828000114,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Crédito PF,Auto/Veículos,media,observacao_tecnica: regex `VEICULO`,auto_loans,,sem_percentual_parseavel,False
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | erem pela substituição do Gestor sem Justa Causa será reconhecido ao Gestor, na mesma AGC, o direito de requerer a Amortização Acelerada integral das Cotas Subordinadas Mezanino por ele detidas, ficando tal amortização sujeita à aprovação apenas dos Cotistas Subordinados Mezanino. Voto do Cotista Sênior presente à AGC em conjunto com a maioria das Cotas Subordinadas Júnior presentes à AGC. Caso os Cotistas deliberem…",1200490_regulamento_regulamento_1200490_2026-03-27.pdf · ID 1200490 · 27/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,37511828000114,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,,sem_percentual_parseavel,False
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,Critérios de elegibilidade dos direitos creditórios,eligibility_criteria_text,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,nao_monitoravel,,Alerta operacional: amostra ou regra de lastro indicar descumprimento dos critérios de elegibilidade,"Critérios de elegibilidade exigem granularidade por direito creditório, sacado, cedente e documentação de lastro não disponível no IME público. | Extração local heurística; validar manualmente antes de ativar alerta. | e/ou pela existência dos Direitos Creditórios, sendo, no entanto, responsável pela análise dos Documentos Comprobatórios nos termos deste Capítulo e pela pronta comunicação de quaisquer inconsistências. CAPÍTULO SÉTIMO DOS CRITÉRIOS DE ELEGIBILIDADE E DAS CONDIÇÕES DE CESSÃO 7.1. Todos e quaisquer Direitos Creditórios a serem adquiridos pelo Fundo deverão atender, na respectiva Data de Aquisição e Pagamento, ao segu…",1200490_regulamento_regulamento_1200490_2026-03-27.pdf · ID 1200490 · 27/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,37511828000114,,,Regra textual de elegibilidade dos direitos creditórios; verificar observação e fonte.,Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,,sem_percentual_parseavel,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BASSANO DI GRAPPO - RESPONSABILIDADE LIMITADA,37.645.459/0001-52,"Troca de administrador, gestor ou prestador-chave",service_provider_replacement_event,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",nao_monitoravel,,"Alerta documental: renúncia, destituição ou substituição não saneada de administrador, gestor ou prestador-chave","Troca, renúncia ou substituição de administrador, gestor, custodiante ou consultor é evento documental/eventual, não métrica mensal do IME. | Extração local heurística; validar manualmente antes de ativar alerta. | Eventos de Liquidação 10.3 As seguintes hipóteses são consideradas Eventos de Liquidação: (i) caso seja deliberado em Assembleia de Cotistas que um Evento de Avaliação constitui um Evento de Liquidação; (ii) na hipótese de resilição do Contrato de Custódia ou renúncia do CUSTODIANTE, sem que tenha havido sua substituição por outra instituição, de acordo com os procedimentos estabelecidos neste Regulamento; (iii) ren…",1180462_regulamento_regulamento_1180462_2026-05-04.pdf · ID 1180462 · 04/05/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,37645459000152,,,"Regra textual de troca/substituição de administrador, gestor ou prestador-chave.",Não classificado,Revisar manualmente,baixa,Sem regra setorial acionada por metadados disponíveis.,unclassified,,sem_percentual_parseavel,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,Subordinação mínima,subordination_ratio_min,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 10%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | o Antecipado Automático : Significam quaisquer dos eventos descritos no Artigo 22º do Anexo Descritivo deste Regulamento; 52. Eventos de Pagamento Antecipado Não Automático : Significam quaisquer dos eventos descritos no Artigo 24º do Anexo Descritivo deste Regulamento. 53. Excesso de Cobertura : a situação caracterizada pela apuração de excesso de subordinação, de acordo com as regras existentes para a Razão de Sub…",790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,38658727000133,10.0,,10%,Crédito PJ,CCB/Notas comerciais/Capital de giro,alta,ativos_alvo: regex `CEDULAS DE CREDITO BANCARIO`,pj_ccb_notas_comerciais,10.0,percentual_direto,True
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,Alocação mínima em direitos creditórios,credit_rights_allocation_min,67%,monitoravel,Dir Cred / PL,Alerta se proxy IME ficar abaixo de 67%,"O Informe Mensal traz direitos creditórios e PL. | Extração local heurística; validar manualmente antes de ativar alerta. | e administração de carteiras de títulos e valores mobiliários, nos termos do Ato Declaratório nº 11.784, de 30 de junho de 2011; 3. Agência Classificadora de Risco : Significa a AUSTIN RATING SERVIÇOS FINANCEIROS LTDA. , contratada pela Administradora para elaborar a classificação de risco das Cotas; 4. Alocação Mínima : Percentual mínimo de 67% (sessenta e sete por cento) do Patrimônio Líquido a ser mantido em Dire…",790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,38658727000133,67.0,67,67%,Crédito PJ,CCB/Notas comerciais/Capital de giro,alta,ativos_alvo: regex `CEDULAS DE CREDITO BANCARIO`,pj_ccb_notas_comerciais,67.0,percentual_direto,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | istradora, todavia, qualquer indenização, multa ou penalidade, de qualquer natureza. Ademais, a baixa liquidez do investimento nas Cotas poderá implicar impossibilidade de venda das Cotas ou venda por preço inferior ao seu valor patrimonial, causando prejuízo aos Cotistas. V. Risco de ausência de proteção da carteira : o Fundo não utilizará derivativos para proteção das posições à vista, de modo que não será feito h…",790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,38658727000133,,,Regra textual de derivativos/hedge; verificar observação e fonte.,Crédito PJ,CCB/Notas comerciais/Capital de giro,alta,ativos_alvo: regex `CEDULAS DE CREDITO BANCARIO`,pj_ccb_notas_comerciais,,sem_percentual_parseavel,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,Cancelamento máximo,cancellation_rate_max,"0,20%",parcial,"Recompras / Crédito, baixas ou eventos operacionais informados","Alerta se proxy IME ficar acima de 0,20%","Cancelamentos podem ter proxy por recompras/baixas quando reportadas, mas a definição contratual costuma depender de dados operacionais do cedente. | Extração local heurística; validar manualmente antes de ativar alerta. | a fará jus, sem que isso represente qualquer responsabilidade da Administradora perante os Cotistas após a constituição do referido condomínio; e IX. se for o caso, qualquer pagamento dos Cotistas da Classe de Cota mediante a entrega de ativos ocorrerá fora do âmbito da B3. Artigo 54º A Gestora permanecerá no exercício de sua função até a conclusão da liquidação total da Classe de Cotas e a Administradora até o canc…",790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro,38658727000133,0.2,,"0,20%",Crédito PJ,CCB/Notas comerciais/Capital de giro,alta,ativos_alvo: regex `CEDULAS DE CREDITO BANCARIO`,pj_ccb_notas_comerciais,0.2,percentual_direto,False
