Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Classe/Série,Amortização/Vencimento,categoria_evidencia,grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,termos_encontrados,trecho,fonte_pagina
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,7,"\bamortiza[cç][aã]o\b, \bcronograma\b, \bdata de pagamento\b, \bresgate\b","3 Data de Pagamento % da Meta de Remuneração Sênior % da Amortização Sênior 31/dez/27 100,00% 6,25% 31/jan/28 100,00% 6,67% 29/fev/28 100,00% 7,14% 31/mar/28 100,00% 7,69% 30/abr/28 100,00% 8,33% 31/mai/28 100,00% 9,09% 30/jun/28 100,00% 10,00% 31/jul/28 100,00% 11,11% 31/ago/28 100,00% 12,50% 30/set/28 100,00% 14,29% 31/out/28 100,00% 16,67% 30/nov/28 100,00% 20,00% 31/dez/28 100,00% 25,00% 31/jan/29 100,00% 33,33% 28/fev/29 100,00% 50,00% 31/mar/29 100,00% 100,00...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,8,"\bcronograma\b, \bdata de pagamento\b","4 7. As Cotas Seniores de cada Série serão resgatadas até a última Data de Pagamento, observado o cronograma em caso de Evento de Aceleração das Cotas Seniores, relativo às Cotas Seniores da respectiva Série, que corresponde à data do término do prazo de duraçã o da respectiva Série de Cotas Seniores, pelo seu respectivo valor calculado nos termos do Apêndice da Subclasse Sênior e do Regulamento. 8. Os termos iniciados em letra maiúscula não definidos expressamente neste Suplemento terão o significado a eles atribuído no Regulam...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.8
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,1,\bcronograma\b,"...º, da Instrução CVM nº 356/01. 3. PRESENÇA: compareceram os cotistas representando 100% (cem por cento) das Cotas de emissão do Fundo em circulação (“Cotistas”). Compareceu, ainda, o representante legal da Administradora. 4. COMPOSIÇÃO DA MESA: Presidente: Antonio Bosco; Secretário: Marcelo Marques. 5. ORDEM DO DIA: Deliberar sobre (i) a prorrogação dos pagamentos de juros e principal das Cotas Seniores da Segunda Série do Fundo, de acordo com o cronograma apresentado no Suplemento consolidado constante do Anexo I à presente ata; (ii) a alteração do Suplemento da Segunda Série de Cotas Seniores do Fundo, o qual passará a vigorar nos termos do Suplemento consolidado constante do Anexo I à presente ata; e (iii) a autorização à Administradora e à Gestora para realizarem todos os atos e assinarem todos os documentos necessários para a implementação das deliberações ora tomadas, conforme aplicável. 6. ...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.1
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,6,"\bamortiza[cç][aã]o\b, \bcronograma\b, \bdata de pagamento\b, \bresgate\b","2 (i) Benchmark Regular: equivalente a 100% (cem por cento) da variação positiva do CDI, acrescida de um spread de 3,5% a.a. (três inteiros e cinco décimos por cento) ao ano, pago mensalmente, em cada Data de Pagamento, exceto em caso de Evento de Aceleração das Cotas Seniores, observado o disposto no item abaixo. (ii) Benchmark Qualificado: Caso seja caracterizado um Evento de Aceleração das Cotas Seniores, nos termos do Artigo 12.12 e 12.12.1 do Regulamento, a partir da data em que for caracterizado o Evento de Aceleração das Cotas Seniores, o Benchmark automaticamente passará a ser equivalente a 100% (cem por cento) da variação positiva do CDI, acrescida de...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.6
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,7,"\bcronograma\b, \bdata de pagamento\b, \bresgate\b","...00% 17 30-01-25 Juros + Principal 8.33% 18 28-02-25 Juros + Principal 9.09% 19 30-03-25 Juros + Principal 10.00% 20 30-04-25 Juros + Principal 11.11% 21 30-05-25 Juros + Principal 12.50% 22 30-06-25 Juros + Principal 14.29% 23 30-07-25 Juros + Principal 16.67% 24 30-08-25 Juros + Principal 20.00% 25 30-09-25 Juros + Principal 25.00% 26 30-10-25 Juros + Principal 33.33% 27 30-11-25 Juros + Principal 50.00% 28 30-12-25 Juros + Principal 100.00% V. Data de Pagamento: cada uma das datas apresentadas no cronograma acima, ou dia útil seguinte. 4. As cotas da 2ª Série de Cotas Seniores serão valorizadas diariamente, a partir do Dia Útil da respectiva Data de Subscrição Inicial até a data de resgate da 2ª Série de Cotas Seniores, nos termos do Capítulo 11 do Regulamento. A Meta de Remuneração Sênior será determinada por meio da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (d...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,8,"\bamortiza[cç][aã]o\b, \bcronograma\b, \bdata de pagamento\b, \bresgate\b","4 alternativos e não serão , em hipótese nenhuma, buscados pelo Fundo ou aplicados sobre as Cotas Seniores de forma cumulativa. 5. Se o patrimônio do Fundo permitir, e observadas as (i) Condições de Amortização e Resgate apresentadas no item 3 acima; e (ii) a ordem de alocação de recursos prevista no Capítulo 13 do Regulamento, a Remuneração Sênior será paga (a) em cada Data de Pagamento, ou (b) na forma do Artigo 13.2 em caso de caracterizado o Evento de Aceleração das Cotas Seniores, em ambos os casos, em moeda corrente nacional, observados os termos do Regulamento. 6. Se o Patrimônio do Fundo permitir, e observadas as Condições de Amortização e Resg...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.8
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,2,"\bamortiza[cç][aã]o\b, \bresgate\b","...RAZO DE DURAÇÃO 3 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 3 3. CRITÉRIOS DE ELEGIBILIDADE E CONDIÇÕES DE CESSÃO 6 4. FATORES DE RISCO 7 5. ADMINISTRADORA 16 6. OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 16 7. REMUNERAÇÃO DA ADMINISTRADORA 18 8. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 19 9. GESTORA, DISTRIBUIDOR, CUSTODIANTE E AGENTE DE COBRANÇA 20 10. COTAS 25 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 29 12. AMORTIZAÇÃO E RESGATE DAS COTAS 31 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 33 14. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO 35 15. EVENTOS DE AVALIAÇÃO 35 16. EVENTOS DE LIQUIDAÇÃO ANTECIPADA E LIQUIDAÇÃO DO FUNDO 37 17. DESPESAS E ENCARGOS DO FUNDO 38 18. ASSEMBLEIA GERAL 40 19. PUBLICIDADE E REMESSA DE DOCUMENTOS 44 20. DISPOSIÇÕES FINAIS 45 ANEXO I - DEFINIÇÕES 46 ANEXO II - PROCESSO DE ORIGINAÇÃO DOS DIREITOS CREDITÓRIOS E POLÍTICA DE CRÉDITO 59 ANEXO III...",207364_regulamento_regulamento_207364_2021-08-13.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,7,\bvencimento\b,"7 de elegibilidade previstos nas Cláusulas 3.5. e 3.6. em relação aos Direitos Creditórios CCB e Direitos Creditórios PPV , respectivamente, na respectiva Data de Aquisição e Pagamento (“Critérios de Elegibilidade”). 3.5 Como Critério de Elegibilidade, os Direitos Creditórios CCB , na respectiva Data de Aquisição e Pagamento, deverão ter prazo máximo de vencimento equivalente a 25 (vinte e cinco) meses. 3.6 Os Direitos Creditórios PPV deverão atender aos seguintes Critérios de Elegibilidade, na respectiva Data de Aquisição e Pagamento: (a) O Cedente deverá ser pessoa física ou pessoa jurídica inscrita, respectivamente, no Cadastro de Pessoas Físicas ou Cadastro Nacional de Pessoas Jurídicas; e (b) O respectivo Cedente não pode estar inadimplente perante o Fundo com relação a quaisquer parcelas no âmbito d...",207364_regulamento_regulamento_207364_2021-08-13.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,8,\bresgate\b,"...grantes da Carteira do Fundo pode ser temporária, não existindo, no entanto , garantia de que não se estenda por períodos longos e/ou indeterminados. 4.1.2 Risco de Crédito: (a) Dos Devedores . Decorre da capacidade dos Devedores em honrarem seus compromissos pontual e integralmente, conforme contratados. O Fundo sofrerá o impacto do inadimplemento dos Direitos Creditórios Adquiridos que estejam vencidos e não pagos. O Fundo somente procederá ao resgate",207364_regulamento_regulamento_207364_2021-08-13.pdf p.8
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,9,\bresgate\b,"9 das Cotas em moeda corrente nacional na medida em que os Direitos Creditórios sejam pagos pelos Devedores e os respectivos valores sejam transferidos ao Fundo, não havendo garantia de que o resgate das Cotas ocorrerá integralmente conforme estabelecido neste Regulamento . Nessas hipóteses, não será devido pelo Fundo, pela Administradora , pela Gestora , pelo Custodiante ou pelo s Cedentes, qualquer multa ou penalidade, de qualquer natureza. (b) Cobrança Extrajudicial e Judicial. No caso de os Devedores não cumprirem suas obrigações de pagame nto dos Direitos Creditórios Adquiridos, poderá ser iniciada a cobrança extrajudicial ou judicial d...",207364_regulamento_regulamento_207364_2021-08-13.pdf p.9
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021,207364,Regulamento,regulamento,data/raw/33254370000104/207364_regulamento_regulamento_207364_2021-08-13.pdf,10,\bamortiza[cç][aã]o\b,"...a suas obrigações. 4.1.3 Risco de Liquidez: (a) Dos Ativos Financeiros. Diversos motivos podem ocasionar a falta de liquidez dos mercados nos quais os títulos e valores mobiliários integrantes da Carteira são negociados, e/ou outras condiçõe s atípicas de mercado. Caso isso ocorra, o Fundo estará sujeito a riscos de liquidez dos Ativos Financeiros detidos em Carteira, situação em que o Fundo poderá não estar apto a efetuar pagamentos relativos à amortização e resgates de suas Cotas. (b) Dos Direitos Creditórios. O investimento do Fundo em Direitos Creditórios apresenta peculiaridades em relação às aplicações usuais da maioria dos fundos de investimento brasileiros, haja vista que não existe, no Brasil, mercado secundário com liquidez para tais Direitos Creditórios. Caso o Fundo precise vender os Direitos Creditórios detidos em Carteira, poderá não haver mercado comprador ou o preço de alienação de ...",207364_regulamento_regulamento_207364_2021-08-13.pdf p.10
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,13/08/2021 16:00,211844,AGE,assembleia,data/raw/33254370000104/211844_assembleia_assembleia_211844_2021-08-13.pdf,2,\bamortiza[cç][aã]o\b,"...presente Ata , conforme as alterações a seguir ora aprovadas: a) alteração do item 9.2.1 do Regulamento do Fundo, para incluir novas atividades cuja responsabilidade é da Gestora; b) alteração do Capítulo 10 do Regulamento do Fundo, para definição da Relação Mínima de Subordinação, entre outros pequenos ajustes de redação; c) alteração do Capítulo 12 do Regulamento do Fundo, para prever a constituição de Reserva de Remuneração Sênior e regras de amortização extraordinária de Cotas ; d) alteração do Capítulo 13 do Regulamento do Fundo, para atualizar as regras de aplicação de recursos pela Administradora; e) alteração do Capítulo 15 do Regulamento do Fundo, para a previsão de novos eventos de avaliação; f) alteração do Capítulo 18 do Regulam ento do Fundo, para inclusão de nova matéria para deliberação pela Assembleia Geral; g) alteração do Anexo I do Regulamento do Fundo , para atualização das Defi...",211844_assembleia_assembleia_211844_2021-08-13.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,14/10/2022,365262,Regulamento,regulamento,data/raw/33254370000104/365262_regulamento_regulamento_365262_2022-10-14.pdf,2,"\bamortiza[cç][aã]o\b, \bresgate\b","...AZO DE DURAÇÃO 3 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 4 3. CRITÉRIOS DE ELEGIBILIDADE E CONDIÇÕES DE CESSÃO 7 4. FATORES DE RISCO 10 5. ADMINISTRADORA 22 6. OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 22 7. REMUNERAÇÃO DA ADMINISTRADORA 25 8. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 26 9. GESTORA, DISTRIBUIDOR, CUSTODIANTE E AGENTE DE COBRANÇA 27 10. COTAS 34 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 39 12. AMORTIZAÇÃO E RESGATE DAS COTAS 42 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 46 14. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO 48 15. EVENTOS DE AVALIAÇÃO 48 16. EVENTOS DE LIQUIDAÇÃO ANTECIPADA E LIQUIDAÇÃO DO FUNDO 51 17. DESPESAS E ENCARGOS DO FUNDO 53 18. ASSEMBLEIA GERAL 55 19. PUBLICIDADE E REMESSA DE DOCUMENTOS 60 20. DISPOSIÇÕES FINAIS 61 ANEXO I - DEFINIÇÕES 63 ANEXO II - PROCESSO DE ORIGINAÇÃO DOS DIREITOS CREDITÓRIOS E POLÍTICA DE CRÉDITO 82 ANEXO III...",365262_regulamento_regulamento_365262_2022-10-14.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,14/10/2022,365262,Regulamento,regulamento,data/raw/33254370000104/365262_regulamento_regulamento_365262_2022-10-14.pdf,8,\bvencimento\b,"...rão atender, cumulativamente, aos critérios de elegibilidade previstos nas Cláusulas 3.5. e 3.6. em relação aos Direitos Creditórios CCB e Direitos Creditórios PPV, respectivamente, na respectiva Data de Aquisição e Pagamento (“Critérios de Elegibilidade”). 3.5 Como Critério de Elegibilidade, os Direitos Creditórios CCB, na respectiva Data de Aquisição e Pagamento, deverão atender aos seguintes Critérios de Elegibilidade: (a) ter prazo máximo de vencimento equivalente a: (1) 60 (sessenta) meses para as CCBs Veículos; ou (2) 25 (vinte e cinco) meses para as demais CCBs que não sejam CCBs Veículos ; e",365262_regulamento_regulamento_365262_2022-10-14.pdf p.8
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,14/10/2022,365262,Regulamento,regulamento,data/raw/33254370000104/365262_regulamento_regulamento_365262_2022-10-14.pdf,11,\bresgate\b,"...grantes da Carteira do Fundo pode ser temporária, não existindo, no entanto, garantia de que não se estenda por períodos longos e/ou indeterminados. 4.1.2 Risco de Crédito: (a) Dos Devedores . Decorre da capacidade dos Devedores em honrarem seus compromissos pontual e integralmente, conforme contra tados. O Fundo sofrerá o impacto do inadimplemento dos Direitos Creditórios Adquiridos que estejam vencidos e não pagos. O Fundo somente procederá ao resgate das Cotas em moeda corrente nacional na medida em que os Direitos Creditórios sejam pagos pelos De vedores e os respectivos valores sejam transferidos ao Fundo, não havendo garantia de que o resgate das Cotas ocorrerá integralmente conforme estabelecido neste Regulamento. Nessas hipóteses, não será devido pelo Fundo, pela Administradora, pela Gestora, p elo Custodiante ou pelos Cedentes, qualquer multa ou penalidade, de qualquer natureza.",365262_regulamento_regulamento_365262_2022-10-14.pdf p.11
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,14/10/2022,365262,Regulamento,regulamento,data/raw/33254370000104/365262_regulamento_regulamento_365262_2022-10-14.pdf,13,\bamortiza[cç][aã]o\b,"...ça suas obrigações. 4.1.3 Risco de Liquidez: (a) Dos Ativos Financeiros. Diversos motivos podem ocasionar a falta de liquidez dos mercados nos quais os títulos e valores mobiliários integrantes da Carteira são negociados, e/ou outras condições atípicas de mercado. Caso isso ocorra, o Fundo estará sujeito a riscos de liquidez dos Ativos Financeiros detidos em Carteira, situação em que o Fundo poderá não estar apto a efetuar pagamentos relativos à amortização e resgates de suas Cotas. (b) Dos Direitos Creditórios . O investimento do Fundo em Direitos Creditórios apresenta peculiaridades em relação às aplicações usuais da maioria dos fundos de investimento brasileiros, haja vista que não existe, no Brasil, mercado secundário com liquidez para tais Direitos Creditórios. Caso o Fundo precise vender os Direitos Creditórios detidos em Carteira, poderá não haver mercado comprador ou o preço de alienação de...",365262_regulamento_regulamento_365262_2022-10-14.pdf p.13
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,14/10/2022,365262,Regulamento,regulamento,data/raw/33254370000104/365262_regulamento_regulamento_365262_2022-10-14.pdf,14,"\bamortiza[cç][aã]o\b, \bresgate\b","...ente do Fundo é a ocorrência de casos de liquidação antecipada do Fundo previstos no Regulamento, e deliberação, pela Assembleia Geral, sobre a liquidação antecipada do Fundo. Ocorrendo qualquer uma das hipóteses de liquidação antecipada do Fundo, poderá não haver recursos disponíveis em m oeda corrente nacional para realizar o pagamento aos Cotistas, que poderão ser pagos com os Direitos Creditórios e Ativos Financeiros detidos em Carteira. (e) Amortização e resgate condicionado das Cotas . As únicas fontes de recursos do Fundo para efetuar o r esgate das Cotas é a liquidação: (i) dos Direitos Creditórios pelos respectivos Devedores; e (ii) dos Ativos Financeiros pelas respectivas contrapartes. Após o recebimento desses recursos e, se for o caso, depois de esgotados todos os meios cabíveis para a cobrança, extrajudicial ou judicial, dos referidos ativos, o Fundo não disporá de quaisquer outras ver...",365262_regulamento_regulamento_365262_2022-10-14.pdf p.14
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,14/10/2022 17:00,365260,AGE,assembleia,data/raw/33254370000104/365260_assembleia_assembleia_365260_2022-10-14.pdf,2,\bvencimento\b,"...rdem do dia, conforme segue abaixo: 6.1 Os Cotistas deliberaram pela aprovação da alteração da cláusula 3.5 do Regulamento do Fundo, referente aos Critérios de Elegibilidade para os Direitos Creditórios CCB, a qual passará a vigorar com a seguinte redação: “3.5 Como Critério de Elegibilidade, os Direitos Creditórios CCB, na respectiva Data de Aquisição e Pagamento, deverão atender aos seguintes Critérios de Elegibilidade: (a) ter prazo máximo de vencimento equivalente a: (1) 60 (sessenta) meses para as CCBs Veículos; ou (2) 25 (vinte e cinco) meses para as demais CCBs que não sejam CCBs Veículos; e (b) As CCBs Veículos deverão representar, no máximo, 10% (dez por cento) do Patrimônio Líquido do Fundo, considerando, para o cálculo em questão, o valor nominal das CCBs Veículos presentes na Carteira e das CCBs Veículos objeto de aquisição na referida Data de Aquisição e Pagamento.” .” Clicksign 9b801...",365260_assembleia_assembleia_365260_2022-10-14.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021,206963,Regulamento,regulamento,data/raw/33254370000104/206963_regulamento_regulamento_206963_2021-07-15.pdf,2,"\bamortiza[cç][aã]o\b, \bresgate\b","...RAZO DE DURAÇÃO 4 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 4 3. CRITÉRIOS DE ELEGIBILIDADE E CONDIÇÕES DE CESSÃO 7 4. FATORES DE RISCO 8 5. ADMINISTRADORA 17 6. OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 17 7. REMUNERAÇÃO DA ADMINISTRADORA 19 8. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 20 9. GESTORA, DISTRIBUIDOR, CUSTODIANTE E AGENTE DE COBRANÇA 20 10. COTAS 25 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 29 12. AMORTIZAÇÃO E RESGATE DAS COTAS 31 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 33 14. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO 34 15. EVENTOS DE AVALIAÇÃO 34 16. EVENTOS DE LIQUIDAÇÃO ANTECIPADA E LIQUIDAÇÃO DO FUNDO 35 17. DESPESAS E ENCARGOS DO FUNDO 37 18. ASSEMBLEIA GERAL 38 19. PUBLICIDADE E REMESSA DE DOCUMENTOS 42 20. DISPOSIÇÕES FINAIS 43 ANEXO I 45 DEFINIÇÕES 45 ANEXO II 57 PROCESSO DE ORIGINAÇÃO DOS DIREITOS CREDITÓRIOS E POLÍTICA DE CRÉDITO 57 ANEXO I...",206963_regulamento_regulamento_206963_2021-07-15.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021,206963,Regulamento,regulamento,data/raw/33254370000104/206963_regulamento_regulamento_206963_2021-07-15.pdf,7,\bvencimento\b,"...eitos Creditórios a serem adquiridos pelo Fundo deverão atender, cumulativamente, aos critérios de elegibilidade previstos nas Cláusulas 3.5 . e 3.6. em relação aos Direitos Cre ditórios CCB e Direitos Creditórios PPV, respectivamente, na respectiva Data de Aquisição e Pagamento (“Critérios de Elegibilidade”). 3.5 Como Critério de Elegibilidade, os Direitos Creditórios CCB, na respectiva Data de Aquisição e Pagamento, deverão ter prazo máximo de vencimento equivalente a 25 (vinte e cinco) meses.",206963_regulamento_regulamento_206963_2021-07-15.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021,206963,Regulamento,regulamento,data/raw/33254370000104/206963_regulamento_regulamento_206963_2021-07-15.pdf,9,\bresgate\b,"...egrantes da Carteira do Fundo pode ser temporária, não existindo, no entanto, garantia de que não se estenda por períodos longos e/ou indeterminados. 4.1.2 Risco de Crédito: (a) Dos Devedores . Decorre da capacidade dos Devedores em honrarem seus compromissos pontual e integralmente, conforme contratados. O Fundo sofrerá o impacto do inadimplemento dos Direitos Creditórios Adquiridos que estejam vencidos e não pagos. O Fundo somente procederá ao resgate das Cotas em moeda corrente nacional na medida em que os Direitos Creditórios sejam pagos pelos Devedores e os respectivos valores sejam transferidos ao Fundo, não havendo garantia de que o resgate das Cotas ocorrerá integralmente conforme estabelecido neste Regulamento. Nessas hipóteses, não será devido pelo Fundo, pela Administradora, pela Gestora, pelo Custodiante ou pelos Cedentes, qualquer multa ou penalidade, de qualquer natureza.",206963_regulamento_regulamento_206963_2021-07-15.pdf p.9
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021,206963,Regulamento,regulamento,data/raw/33254370000104/206963_regulamento_regulamento_206963_2021-07-15.pdf,11,"\bamortiza[cç][aã]o\b, \bresgate\b","11 4.1.3 Risco de Liquidez: (a) Dos Ativos Financeiros. Diversos motivos podem ocasionar a falta de liquidez dos mercados nos quais os títulos e valores mobiliários integrantes da Carteira são negociados, e/ou outras condições atípicas de mercado. Caso isso ocorra, o Fundo estará sujeito a riscos de liquidez dos Ativos Financeiros detidos em Carteira, situação em que o Fundo poderá não estar apto a efetuar pagamentos relativos à amortização e resgates de suas Cotas. (b) Dos Direitos Creditórios. O investimento do Fundo em Direitos Creditórios apresenta peculiaridades em relação às aplicações usuais da maioria dos fundos de investimento brasileiros, haja vista que não existe, no Brasil, mercado secundário com liquidez para tais Dir eitos Creditórios. Caso o Fundo precise vender os Direitos Creditórios detidos em Carteira, poderá não haver mercado comprador ou o preço de alienação de...",206963_regulamento_regulamento_206963_2021-07-15.pdf p.11
