Fundo,CNPJ,Critério,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,cnpj_digits,arquivo_origem_tabela,Chave,Status curadoria,Evento,Comparação,Limite,Monitoramento,Métrica IME sugerida,Comentário,Trecho/Fórmula
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,451451_assembleia_assembleia_451451_2023-04-26.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"0,50%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,,,,,,451466_regulamento_regulamento_451466_2023-04-26.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,40%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cobertura mínima de PDD/provisão,,,,,,451466_regulamento_regulamento_451466_2023-04-26.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,pdd_coverage_min,,enquadramento,>=,"0,0%",monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,451466_regulamento_regulamento_451466_2023-04-26.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,50%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,451466_regulamento_regulamento_451466_2023-04-26.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,5%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,451466_regulamento_regulamento_451466_2023-04-26.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"70,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,451466_regulamento_regulamento_451466_2023-04-26.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"1,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Limite de concentração,,,,,,451466_regulamento_regulamento_451466_2023-04-26.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,concentration_limits,,elegibilidade,>=,5%,nao_monitoravel,,"Limites por sacado, cedente ou grupo econômico exigem granularidade não disponível no IME público.",
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,,,,,,504544_regulamento_regulamento_504544_2023-08-09.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,40%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cobertura mínima de PDD/provisão,,,,,,504544_regulamento_regulamento_504544_2023-08-09.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,pdd_coverage_min,,enquadramento,>=,"0,0%",monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,504544_regulamento_regulamento_504544_2023-08-09.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,50%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,504544_regulamento_regulamento_504544_2023-08-09.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,5%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,504544_regulamento_regulamento_504544_2023-08-09.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"70,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,504544_regulamento_regulamento_504544_2023-08-09.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"1,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,,,,,,517362_regulamento_regulamento_517362_2023-08-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,40%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cobertura mínima de PDD/provisão,,,,,,517362_regulamento_regulamento_517362_2023-08-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,pdd_coverage_min,,enquadramento,>=,"0,0%",monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,517362_regulamento_regulamento_517362_2023-08-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,50%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,517362_regulamento_regulamento_517362_2023-08-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,5%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,517362_regulamento_regulamento_517362_2023-08-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"70,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,517362_regulamento_regulamento_517362_2023-08-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"1,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,,,,,,559878_regulamento_regulamento_559878_2023-11-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,40%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Cobertura mínima de PDD/provisão,,,,,,559878_regulamento_regulamento_559878_2023-11-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,pdd_coverage_min,,enquadramento,>=,"0,0%",monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,559878_regulamento_regulamento_559878_2023-11-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,50%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,559878_regulamento_regulamento_559878_2023-11-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,5%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,559878_regulamento_regulamento_559878_2023-11-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"70,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,559878_regulamento_regulamento_559878_2023-11-28.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"1,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,,,,,,691625_assembleia_assembleia_691625_2024-07-03.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,15%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,691625_assembleia_assembleia_691625_2024-07-03.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,50%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,,,,,,792579_regulamento_regulamento_792579_2024-11-29.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,15%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,792579_regulamento_regulamento_792579_2024-11-29.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,67%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,792579_regulamento_regulamento_792579_2024-11-29.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,5%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,792579_regulamento_regulamento_792579_2024-11-29.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"70,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,792579_regulamento_regulamento_792579_2024-11-29.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"1,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,,,,,,909707_regulamento_regulamento_909707_2025-05-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,909707_regulamento_regulamento_909707_2025-05-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,67%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,909707_regulamento_regulamento_909707_2025-05-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,5%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,909707_regulamento_regulamento_909707_2025-05-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"75,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,909707_regulamento_regulamento_909707_2025-05-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"1,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,,,,,,1077333_assembleia_assembleia_1077333_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,1077333_assembleia_assembleia_1077333_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,67%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,1077333_assembleia_assembleia_1077333_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,5%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,1077333_assembleia_assembleia_1077333_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"75,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,1077333_assembleia_assembleia_1077333_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"1,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Subordinação mínima,,,,,,1077334_regulamento_regulamento_1077334_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,1077334_regulamento_regulamento_1077334_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,67%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,1077334_regulamento_regulamento_1077334_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,5%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,1077334_regulamento_regulamento_1077334_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"75,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,Alocação mínima em direitos creditórios,,,,,,1077334_regulamento_regulamento_1077334_2025-12-19.pdf,41970012000126,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,"1,00%",monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Subordinação mínima,,,,,,467929_regulamento_regulamento_467929_2023-05-05.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,30%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Subordinação mínima,,,,,,467929_regulamento_regulamento_467929_2023-05-05.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,10%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Cobertura mínima de PDD/provisão,,,,,,467929_regulamento_regulamento_467929_2023-05-05.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,pdd_coverage_min,,enquadramento,>=,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.,
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Alocação mínima em direitos creditórios,,,,,,467929_regulamento_regulamento_467929_2023-05-05.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,50%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Reserva ou caixa mínimo,,,,,,467929_regulamento_regulamento_467929_2023-05-05.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,minimum_cash_ratio,,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados.",
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Reserva ou caixa mínimo,,,,,,467929_regulamento_regulamento_467929_2023-05-05.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,minimum_cash_ratio,,enquadramento,>=,100 %,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados.",
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Limite de concentração,,,,,,467929_regulamento_regulamento_467929_2023-05-05.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,concentration_limits,,elegibilidade,<=,20%,nao_monitoravel,,"Limites por sacado, cedente ou grupo econômico exigem granularidade não disponível no IME público.",
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Subordinação mínima,,,,,,468756_regulamento_regulamento_468756_2023-05-22.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,subordination_ratio_min,,enquadramento,>=,30%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam.,
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Cobertura mínima de PDD/provisão,,,,,,468756_regulamento_regulamento_468756_2023-05-22.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,pdd_coverage_min,,enquadramento,>=,100%,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,O Informe Mensal traz provisão e buckets de atraso; a aderência depende da definição exata do regulamento.,
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Alocação mínima em direitos creditórios,,,,,,468756_regulamento_regulamento_468756_2023-05-22.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,credit_rights_allocation_min,,enquadramento,>=,50%,monitoravel,Dir Cred / PL,O Informe Mensal traz direitos creditórios e PL.,
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Reserva ou caixa mínimo,,,,,,468756_regulamento_regulamento_468756_2023-05-22.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,minimum_cash_ratio,,enquadramento,>=,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados.",
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50.473.039/0001-02,Limite de concentração,,,,,,468756_regulamento_regulamento_468756_2023-05-22.pdf,50473039000102,reports/regulatory_criteria_matrix.csv,concentration_limits,,elegibilidade,<=,20%,nao_monitoravel,,"Limites por sacado, cedente ou grupo econômico exigem granularidade não disponível no IME público.",
