termo_canonico,aliases_grafias,termo_legado_pre_rcvm175,categoria,definicao_proposta,tipo_afirmacao,cnpj_fundo,fundo,segmento_oficial,subtipo_funcional_documental,pl,familia_documental_independente,documento,documento_id,documento_cnpj,data_versao,pagina,secao_clausula_artigo,trecho_curto,trecho_tipo,sha256,confianca,status,fonte_primaria,fonte_metodologica
benchmark não garantido,,,oferta e remuneração,Índice ou meta não é obrigação incondicional de retorno.,prática recorrente,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,105,arts. 12.4 e 12.5,"…cálculo do valor a ser atribuído às Cotas Seniores, desde que o patrimônio da Classe Única o permita, buscará atingir rentabilidade alvo determinada no respectivo Apêndice das Cotas Seniores e os respectivos anexos…",extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
waterfall sem subordinação,,,estrutura de capital,Waterfall operacional pode coexistir com cotas pari passu.,contraprova específica,42922136000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,Financeiro,crédito pessoal,5001607361.66,monee,Monee I FIDC RL — regulamento,1159092,42922136000107,10/04/2026; vigente_na_coleta,56,ordem de aplicação,"…igual ao conferido às demais Cotas de mesma Subclasse. XVII - DA ORDEM DE APLICAÇÃO DOS RECURSOS E DA RESERVA DE CAIXA 17.1. A partir da data da primeira integralização de Cotas e até a liquidação da Classe, sempre…",extração do PDF primário na página conferida,a9ae2020b2588f372795b64ee02f9c77a5dfa99ab254e8472ea4146bb0537bf9,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1159092&cvm=true,
reserva de liquidez,,,reforços e liquidez,"Reserva exige finalidade, alvo, saques e recomposição próprios.",prática recorrente,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,104,arts. 12.1 a 12.8,"…amento (16.10.2025) 12. AF E ORDEM DE APLICAÇÃO DE RECURSOS 12.1 Reserva de Liquidez. A Classe Única deverá estabelecer uma Reserva de Liquidez, cujo valor mínimo será equivalente a 3 (três) meses de despesas ordiná…",extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
reserva de despesas,,,reforços e liquidez,Reserva de despesas não deve ser fundida com reserva de amortização ou perdas.,prática recorrente,29225241000110,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA,Setor público,"NPL, precatórios e créditos litigiosos",5765091894.78,alternative_assets_iii,Alternative Assets III FIDC RL — regulamento,784984,29225241000110,21/11/2024; vigente_na_coleta,10,art. 4.23,"…e. 4.23 Na 1ª Data de Integralização, a Classe deverá constituir Reserva para Despesas, que deverá corresponder à previsão de despesas para 3 (três) meses subsequentes. A Reserva de Despesas deverá ser constituída e…",extração do PDF primário na página conferida,16c804bd74da034f3f549ba7cabf9546cf051c9f7f940c2ddbe08e1faf2d4e10,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=784984&cvm=true,
reserva de aquisição,,,reforços e liquidez,Reserva de aquisição financia compras e não é sinônimo de caixa livre.,específica de fundo,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cartão de crédito,meios de pagamento,9984886332.21,cloudwalk_bela,Cloudwalk Bela FIDC — regulamento,1117954,62393679000183,19/02/2026; vigente_na_coleta,131,definição operacional,…spectiva série de Cotas Seniores e Cotas Subordinadas Mezanino. “Reserva de Aquisição” Significa uma reserva de valor correspondente à estimativa da Cedente do montante de recursos necessários para a aquisição de Di…,extração do PDF primário na página conferida,0deee5b9516712e6d9403f74f13ad4bd8e788ca31e644024346bcc3a1c90b1f6,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1117954&cvm=true,
excesso de spread,,,reforços de crédito,Conceito analítico de margem residual; o rótulo literal não apareceu nos 15 regulamentos.,inferência analítica,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,106,art. 12.8(f),…ivo Apêndice das Cotas Mezanino. 12.7 Cálculo do Valor das Cotas Subordinadas. O valor unitário das Cotas Subordinadas será o resultado da divisão do eventual saldo remanescente do Patrimônio Líquido da Classe Única…,extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,conflito,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
revolvência,,,ciclo da carteira,Aquisição de novos direitos com recursos da carteira durante período admitido.,prática recorrente,42922136000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,Financeiro,crédito pessoal,5001607361.66,monee,Monee I FIDC RL — regulamento,1159092,42922136000107,10/04/2026; vigente_na_coleta,32,art. 5.8,…m a coobrigação da ORIGINADORA. 5.8. A Classe poderá utilizar os recursos financeiros originados na carteira de Direitos Creditórios para adquirir novos Direitos Creditórios (“Revolvência”). 5.9. A ADMINISTRADORA e…,extração do PDF primário na página conferida,a9ae2020b2588f372795b64ee02f9c77a5dfa99ab254e8472ea4146bb0537bf9,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1159092&cvm=true,
revolvência,,,ciclo da carteira,Aquisição de novos direitos com recursos da carteira durante período admitido.,prática recorrente,26287464000114,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Cartão de crédito,meios de pagamento,40658253334.57,tapso,TAPSO FIDC RL — regulamento,1066031,26287464000114,17/12/2025; vigente_na_coleta,26,art. 3.11,…ismo de seguro; ou (vi) do FGC. 3.11. É permitida a aquisição de novos Direitos Creditórios com a utilização de recursos financeiros originados na carteira da Classe (“Revolvência”). 3.12. Os Cedente ficarão obrigad…,extração do PDF primário na página conferida,121bf95356c6131aad33a397ec1d782b97f0cb11141613d61c80b7c71ab800f0,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1066031&cvm=true,
período de investimento,,,ciclo da carteira,Período de investimento delimita reinvestimento e não é sinônimo de ramp-up.,específica de fundo,63953619000130,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA,Comercial,consignado privado,7784357515.48,mt_global,Classe Consignado Privado do MT Global FIDC RL — anexo/regulamento,1222863,63953620000165,02/06/2026; vigente_na_coleta,7,arts. 4.17 a 4.17.3,"…o entre a data da primeira integralização de Cotas da Classe até 29 de junho de 2031, constituirão o período de investimento da Classe, durante o qual, a Classe poderá adquirir Direitos Creditórios (“Período de Inve…",extração do PDF primário na página conferida,71399bc1b41829bdfa10310500cada714a9f517b1440504ba7dc647dbefafdc9,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1222863&cvm=true,
ramp-up contratual,,,ciclo da carteira,Mudança inicial de parâmetro é específica; ocorreu em uma família no corpus.,idiossincrática,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cartão de crédito,meios de pagamento,9984886332.21,cloudwalk_bela,Cloudwalk Bela FIDC — regulamento,1117954,62393679000183,19/02/2026; vigente_na_coleta,127,índice mínimo inicial,…pêndice da respectiva Subclasse de Cotas Subordinadas Mezanino. “Índice de Subordinação Sênior Mínimo” Significa o índice de subordinação sênior mínimo especificado no Apêndice da respectiva S érie de Cotas Seniores…,extração do PDF primário na página conferida,0deee5b9516712e6d9403f74f13ad4bd8e788ca31e644024346bcc3a1c90b1f6,alta,idiossincrático,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1117954&cvm=true,
evento de avaliação,,,eventos e governança,"Evento, cura e consequência precisam ser capturados separadamente.",prática recorrente,52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Serviços,contratos de venda de energia,7377892270.31,aetos,Aetos Energia FIDC — regulamento,794164,52610624000124,21/11/2024; vigente_na_coleta,45,arts. 8.1 e 8.2,"…l o Gestor, qualquer Cotista poderá comunicar a ocorrência de um Evento de Avaliação para o Administrador por meio de notificação expressa discriminando tal Evento de Avaliação e detalhando as informações utilizadas…",extração do PDF primário na página conferida,d7fc415d8007505cd3fc652ba8d964ec5ed05109ef933478144f01e9d591f551,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=794164&cvm=true,
dispensa de descumprimento,,,eventos e governança,Dispensa específica é um waiver; não altera permanentemente a regra sem ato competente.,específica de fundo,28169275000172,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,Cartão de crédito,unidades de recebíveis de arranjo de pagamento,6702700848.65,pagseguro,FIDC PagSeguro I — regulamento,1149521,28169275000172,25/03/2026; vigente_na_coleta,48,deliberação de cotistas,"…eniores, na respectiva Data de Resgate de Cotas Seniores, (c) do Benchmark Sênior nas respectivas Datas de Pagamento de Remuneração; (d) integral de qualquer das Amortizações Programadas das Cotas Mezanino, na respe…",extração do PDF primário na página conferida,61d330f934d36164cb286ca9432e1bf4de544189282df5a710c68c86b3193a30,alta,novo,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1149521&cvm=true,
não liquidação após evento,,,eventos e governança,Evento de avaliação não equivale necessariamente a liquidação automática.,prática recorrente,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,110,art. 13.1.1,"…1.1 Na ocorrência de qualquer Evento de Avaliação será convocada Assembleia Especial, nos termos do Capítulo Dezesseis, para avaliar o grau de comprometimento das atividades da Classe Única em razão do Evento de Ava…",extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
rating não universal,,,oferta e rating,Rating não é atributo obrigatório de toda cota de FIDC.,contraprova específica,52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Serviços,contratos de venda de energia,7377892270.31,aetos,Aetos Energia FIDC — regulamento,794164,52610624000124,21/11/2024; vigente_na_coleta,40,art. 5.1.4,40/76 [ CLASSIFICAÇÃO: PÚBLICA ] sendo que suas características encontram -se descritas nos respectivos Apêndices e Suplementos. 5.1.4 O Fundo não terá suas C…,extração do PDF primário na página conferida,d7fc415d8007505cd3fc652ba8d964ec5ed05109ef933478144f01e9d591f551,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=794164&cvm=true,
rating por série,,,oferta e rating,"Objeto, série, escala e data-base devem ser identificados.",específica de fundo,62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cartão de crédito,meios de pagamento,9984886332.21,cloudwalk_bela,Cloudwalk Bela FIDC — regulamento,1117954,62393679000183,19/02/2026; vigente_na_coleta,140,apêndice de série,"…o na forma prevista no Contrato de Cessão; (xvii) Necessidade de classificação de risco: as Cotas Seniores da 1ª Série serão objeto de classificação de risco equivalente a AAA.br, que deverá ser obtida até 30 (trint…",extração do PDF primário na página conferida,0deee5b9516712e6d9403f74f13ad4bd8e788ca31e644024346bcc3a1c90b1f6,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1117954&cvm=true,
aging contratual,,,desempenho,Faixas contratuais podem divergir da granularidade do Informe Mensal.,específica de fundo,42922136000107,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILIDADE LIMITADA,Financeiro,crédito pessoal,5001607361.66,monee,Monee I FIDC RL — regulamento,1159092,42922136000107,10/04/2026; vigente_na_coleta,42,art. 13.2,…Faixas de atraso % de PDD Após 1 dia da compra 6.54% Atrasado de 1 a 30 dias 59.20% Atrasado de 31 a 60 dias 88.79% Atrasado de 61 a 90 dias 96.50% Atrasados acima de 91 dias 100.00% 13.3. Os Direitos Creditórios in…,extração do PDF primário na página conferida,a9ae2020b2588f372795b64ee02f9c77a5dfa99ab254e8472ea4146bb0537bf9,alta,expandir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1159092&cvm=true,
provisão versus perda,,,desempenho e contabilidade,Provisão e perda reconhecida são registros diferentes.,prática recorrente,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cartão de crédito,meios de pagamento,6465712398.18,cielo,Cielo FIDC — regulamento,1017493,26286939000158,20/10/2025; vigente_na_coleta,105,art. 12.2,"…Útil, observado o disposto na legislação vigente, assim como as provisões e as perdas com tais Direitos Creditórios Cedidos vincendos e Direitos Creditórios Cedidos Inadimplidos integrantes da carteira da Classe Ún…",extração do PDF primário na página conferida,bae4d5fa0da1dd2377aa615c397c1ce29fd67c8eeeabc94ea8d435d399965a73,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=1017493&cvm=true,
provisão versus perda,,,desempenho e contabilidade,Política de mensuração deve distinguir estimativa e perda reconhecida.,prática recorrente,52610624000124,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Serviços,contratos de venda de energia,7377892270.31,aetos,Aetos Energia FIDC — regulamento,794164,52610624000124,21/11/2024; vigente_na_coleta,43,art. 6.1.3,"…6.1.3 O valor dos Direitos Creditórios levará em consideração as provisões e perdas a eles relativos, a ser determinado pel a Administradora, a serem fixadas como o percentual mais alto entre: (a) o estipulado na Re…",extração do PDF primário na página conferida,d7fc415d8007505cd3fc652ba8d964ec5ed05109ef933478144f01e9d591f551,alta,corrigir,https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=794164&cvm=true,
