priority_rank,review_wave,review_reason,cnpj_emissor,nome_emissor,setor_n1,setor_n2,confidence,linhas_oferta,volume_total_registrado,volume_encerrado_conservador,platform_coverage_level,classification_evidence,expected_primary_docs,review_goal
1,Onda 1 - top 50 por volume,confianca_media_alto_volume,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,3000000000.0,3000000000.0,sem_curadoria_local,nome_emissor: regex `\bAUTO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
129,Onda 2 - top 150 por volume,sem_classificacao_setorial,66334710000166,CREDITO PLUS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIROS DE RESP LIMITADA,Não classificado,Revisar manualmente,baixa,1,285000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
130,Onda 2 - top 150 por volume,confianca_media_alto_volume,19424642000146,LOTUS PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,Crédito PJ,Recebíveis comerciais/multissetorial,media,5,285000000.0,215000000.0,sem_curadoria_local,nome_emissor: regex `MULTISSETORIAL`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
131,Onda 2 - top 150 por volume,confianca_media_alto_volume,60742201000196,FGCB III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MULTICARTEIRA - RESP LIMITADA,Crédito PJ,Recebíveis comerciais/multissetorial,media,1,284000000.0,284000000.0,sem_curadoria_local,nome_emissor: regex `MULTICARTEIRA`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
132,Onda 2 - top 150 por volume,sem_classificacao_setorial,60761394000122,FGCB II FIC DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,284000000.0,284000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
133,Onda 2 - top 150 por volume,sem_classificacao_setorial,57088244000195,CENTRO SUL CONCESSOES FIDC DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,283000000.0,283000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
134,Onda 2 - top 150 por volume,confianca_media_alto_volume,57259989000170,TRES TENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DO AGRONEGOCIO RESPONSABILIDADE LIMITADA,Agro,Agro,media,1,280140000.0,280140000.0,sem_curadoria_local,nome_emissor: regex `AGRONEGOCIO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
135,Onda 2 - top 150 por volume,sem_classificacao_setorial,58171340000165,FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,280000000.0,280000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
136,Onda 2 - top 150 por volume,sem_classificacao_setorial,58036896000149,ORIZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,6,275000000.0,69000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
137,Onda 2 - top 150 por volume,sem_classificacao_setorial,36703167000166,YAALEH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,13,270569185.92,223069185.92,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
138,Onda 2 - top 150 por volume,confianca_media_alto_volume,55469182000136,SC1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,Judicial/Precatórios/NPL,Não padronizado/NPL,media,4,267500000.0,87500000.0,sem_curadoria_local,nome_emissor: regex `NAO PADRONIZADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
139,Onda 2 - top 150 por volume,confianca_media_alto_volume,55768379000176,FGTS V FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Crédito PF,FGTS,media,2,266000000.0,266000000.0,sem_curadoria_local,nome_emissor: regex `\bFGTS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
140,Onda 2 - top 150 por volume,confianca_media_alto_volume,57283589000108,AXIOS NPL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Judicial/Precatórios/NPL,Não padronizado/NPL,media,6,265000000.0,245000000.0,sem_curadoria_local,nome_emissor: regex `NPL`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
141,Onda 2 - top 150 por volume,sem_classificacao_setorial,52304780000167,STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LP,Não classificado,Revisar manualmente,baixa,5,264000000.0,164000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
142,Onda 2 - top 150 por volume,sem_classificacao_setorial,28472392000100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS UPL 1,Não classificado,Revisar manualmente,baixa,1,263999999.96,263999999.96,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
143,Onda 2 - top 150 por volume,sem_classificacao_setorial,55711648000168,RIO BRAVO INLIRA STEFANINI CONSORCIO FIDC DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,5,263100000.0,263100000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
144,Onda 2 - top 150 por volume,confianca_media_alto_volume,8756222000140,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS TRADEMAX RESPONSABILIDADE LIMITADA,Crédito PJ,Recebíveis comerciais/multissetorial,media,8,263000000.01,183000000.01,sem_curadoria_local,nome_emissor: regex `MULTISSETORIAL`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
145,Onda 2 - top 150 por volume,confianca_media_alto_volume,39769235000188,CUPERTINO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Judicial/Precatórios/NPL,Não padronizado/NPL,media,9,257000010.29,225000010.19,sem_curadoria_local,nome_emissor: regex `NAO-PADRONIZADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
146,Onda 2 - top 150 por volume,confianca_media_alto_volume,47117622000168,MT SOLIS EXT CAPITAL FIC FIDC RESPONSABILIDADE LIMITADA,FIC/Alocador,FIC de FIDC,media,6,255000000.0,170000000.0,sem_curadoria_local,nome_emissor: regex `FIC FIDC`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
147,Onda 2 - top 150 por volume,confianca_media_alto_volume,62359143000141,XP VINTAGE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA OUTROS RL,Crédito PJ,Recebíveis comerciais/multissetorial,media,1,255000000.0,255000000.0,sem_curadoria_local,nome_emissor: regex `MULTICARTEIRA`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
148,Onda 2 - top 150 por volume,sem_classificacao_setorial,54559035000194,ESTRATÉGIA VINCULADA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,253213991.0,253213991.0,emissoes_curadas,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
149,Onda 2 - top 150 por volume,sem_classificacao_setorial,53662209000187,PNEUCASH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA - RESP LTDA,Não classificado,Revisar manualmente,baixa,2,252000000.0,252000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
150,Onda 2 - top 150 por volume,sem_classificacao_setorial,63032712000102,IORQ FREDERIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,251500000.0,251500000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
151,Onda 3 - acima de R$100mm,confianca_media_alto_volume,63679105000139,FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RIZA SRM - RESPONSAB,FIC/Alocador,FIC de FIDC,media,2,251000000.0,251000000.0,sem_curadoria_local,nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
152,Onda 3 - acima de R$100mm,sem_classificacao_setorial,62014262000162,ITAÚ CRÉDITO ESTRUTURADO ALPES III UPFRONT FIDC RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,250000000.0,250000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
153,Onda 3 - acima de R$100mm,sem_classificacao_setorial,66935232000140,PATRIMONIAL TIGNES FI EM COTAS DE FI EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,250000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
154,Onda 3 - acima de R$100mm,sem_classificacao_setorial,66578726000114,DAYCOVAL D435 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,1,250000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
155,Onda 3 - acima de R$100mm,confianca_media_alto_volume,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Crédito PF,Consignado/INSS,media,2,250000000.0,250000000.0,emissoes_curadas,nome_emissor: regex `CONSIGNADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
156,Onda 3 - acima de R$100mm,sem_classificacao_setorial,62017163000134,ARTESANAL CDI + FIDC III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,250000000.0,250000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
157,Onda 3 - acima de R$100mm,sem_classificacao_setorial,61885788000155,ITAU CREDITO ESTRUTURADO ADVISORY ALPES III FIDC RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,250000000.0,250000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
158,Onda 3 - acima de R$100mm,sem_classificacao_setorial,58152340000118,MONEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,250000000.0,250000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
159,Onda 3 - acima de R$100mm,sem_classificacao_setorial,55486394000121,CONECTA BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,250000000.0,250000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
160,Onda 3 - acima de R$100mm,sem_classificacao_setorial,62729814000119,DIRECIONAL RECEBÍVEIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESP LTDA,Não classificado,Revisar manualmente,baixa,1,249000000.0,249000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
161,Onda 3 - acima de R$100mm,sem_classificacao_setorial,50995214000113,ORION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONDABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,6,245000000.04,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
162,Onda 3 - acima de R$100mm,sem_classificacao_setorial,65788078000168,NXFS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,243750000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
163,Onda 3 - acima de R$100mm,sem_classificacao_setorial,61753072000102,SOSU OPPORTUNITIES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,236500000.0,211500000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
164,Onda 3 - acima de R$100mm,sem_classificacao_setorial,55020611000193,LCM MOJAVE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,236439348.96,236439348.96,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
165,Onda 3 - acima de R$100mm,sem_classificacao_setorial,60327212000100,MTR CRÉDITOS SELECIONADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITA,Não classificado,Revisar manualmente,baixa,6,230000018.3,200000007.69,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
166,Onda 3 - acima de R$100mm,sem_classificacao_setorial,66745267000116,ARC SPECIAL I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,230000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
167,Onda 3 - acima de R$100mm,sem_classificacao_setorial,42513856000100,STEP-UP XIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,1,229270000.0,229270000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
168,Onda 3 - acima de R$100mm,sem_classificacao_setorial,9137729000189,MULTI RECEBIVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,8,227000000.0,173000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
169,Onda 3 - acima de R$100mm,sem_classificacao_setorial,57182268000109,GG 8 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,5,226383000.06,151383000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
170,Onda 3 - acima de R$100mm,sem_classificacao_setorial,42336323000109,CERES CONFINA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIO,Não classificado,Revisar manualmente,baixa,8,225000002.3,225000002.3,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
171,Onda 3 - acima de R$100mm,sem_classificacao_setorial,63503400000130,CHIMERA ALTERNATIVE ASSETS XIII FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESP LIMITADA,Não classificado,Revisar manualmente,baixa,3,225000000.0,225000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
172,Onda 3 - acima de R$100mm,sem_classificacao_setorial,53109903000171,DAYCOVAL D66 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,222250000.0,222250000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
173,Onda 3 - acima de R$100mm,sem_classificacao_setorial,43143480000152,FIDC DE RESPONSABILIDADE LIMITADA REDE DE POSTOS MONTE CARLO,Não classificado,Revisar manualmente,baixa,2,220000000.0,121000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
174,Onda 3 - acima de R$100mm,sem_classificacao_setorial,58561243000189,CLASSE ÚNICA - F3 FALCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,6,220000000.0,155000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
175,Onda 3 - acima de R$100mm,sem_classificacao_setorial,65924624000140,DIFAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,220000000.0,0.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
176,Onda 3 - acima de R$100mm,sem_classificacao_setorial,26756137000164,BASSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado,Revisar manualmente,baixa,7,215000000.0,215000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
177,Onda 3 - acima de R$100mm,sem_classificacao_setorial,32969429000188,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL,Não classificado,Revisar manualmente,baixa,3,214930000.0,214930000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
178,Onda 3 - acima de R$100mm,sem_classificacao_setorial,62015452000102,JC CARBON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,2,210344588.0,210344588.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
179,Onda 3 - acima de R$100mm,sem_classificacao_setorial,34691362000198,ZEUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,5,207000000.0,147000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
180,Onda 3 - acima de R$100mm,sem_classificacao_setorial,56135992000119,ARC LF II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,1,205000000.0,205000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
